ID,SEQ_ID,ROAD_NAME,NUMBER,METER,REMARK,geom,persistentid,DISTANCE_FROM_ORIGIN,length
25552,235,Mathura Road,479DOWN,12,,"LINESTRING (77.279478684813924 28.543843777367066, 77.280339288649358 28.542737286721522)",-1357519944,30661,156
25553,236,Mathura Road,479DOWN,11,,"LINESTRING (77.280339288649358 28.542737286721522, 77.2819238925368 28.540722380916367, 77.282285892562811 28.540264758241978)",-1357519944,31011,350
25554,237,Mathura Road,479DOWN,15.5,,"LINESTRING (77.282285892562811 28.540264758241978, 77.282716194480514 28.539679069520648)",-1357519944,31091,80
25555,238,Mathura Road,479DOWN,15.5,,"LINESTRING (77.282716194480514 28.539679069520648, 77.282750345426365 28.539627843101876)",-1357519944,31097,6
25556,239,Mathura Road,479DOWN,15.5,,"LINESTRING (77.282750345426365 28.539627843101876, 77.282804986939723 28.53954929592642)",-1357519944,31107,10
25557,240,Mathura Road,479DOWN,15.5,,"LINESTRING (77.282804986939723 28.53954929592642, 77.283030383182336 28.539240229866476)",-1357519944,31149,42
25558,241,Mathura Road,479DOWN,15.5,,"LINESTRING (77.283030383182336 28.539240229866476, 77.283276269992456 28.538869692104004, 77.2833104209383 28.538832126063568)",-1357519944,31204,55
25559,242,Mathura Road,479DOWN,15.5,,"LINESTRING (77.2833104209383 28.538832126063568, 77.283337741695 28.538572578875108)",-1357519944,31233,29
25560,243,Mathura Road,479DOWN,11.5,,"LINESTRING (77.283337741695 28.538572578875108, 77.283959288909458 28.537626597675061, 77.284614987069773 28.536573040995588, 77.2847242700965 28.536383503246117, 77.284806232366535 28.536236654178964, 77.285195553149237 28.535577540924056, 77.285216043716744 28.535541682430914, 77.2853184965543 28.535357267323324, 77.285776119228686 28.534518861602706, 77.2858854022554 28.53431737102219, 77.28680747779336 28.532500540702966)",-1357519944,32012,779
25561,244,Mathura Road,479DOWN,11,,"LINESTRING (77.28680747779336 28.532500540702966, 77.286985062711778 28.532106097278398, 77.286991892900943 28.532092436900058)",-1357519944,32061,49
25562,245,Mathura Road,479DOWN,11,,"LINESTRING (77.286991892900943 28.532092436900058, 77.287019213657629 28.532048040670453)",-1357519944,32066,5
25563,246,Mathura Road,479DOWN,11,,"LINESTRING (77.287019213657629 28.532048040670453, 77.28722411933272 28.531585295354184, 77.287429025007825 28.531091814186652)",-1357519944,32181,115
25564,247,Mathura Road,479DOWN,11,,"LINESTRING (77.287429025007825 28.531091814186652, 77.287558798602049 28.530779333032122, 77.287879817493049 28.530017766939668, 77.288214496762379 28.529167408388, 77.288296459032409 28.529015436678968, 77.2885286854642 28.528648314011079)",-1357519944,32479,298
25565,248,Mathura Road,479DOWN,10,,"LINESTRING (77.2885286854642 28.528648314011079, 77.28865162886926 28.528494634754754, 77.28877457227432 28.528359738518645, 77.289450761002144 28.527702332811032)",-1357519944,32626,147
25566,249,Mathura Road,479DOWN,10,,"LINESTRING (77.289450761002144 28.527702332811032, 77.289525893083024 28.527627200730162)",-1357519944,32637,11
25567,250,Mathura Road,479DOWN,10,,"LINESTRING (77.289525893083024 28.527627200730162, 77.2895532138397 28.527603295068069)",-1357519944,32641,4
25568,251,Mathura Road,479DOWN,10,,"LINESTRING (77.2895532138397 28.527603295068069, 77.289566874218039 28.527584512047849)",-1357519944,32643,2
25569,252,Mathura Road,479DOWN,10,,"LINESTRING (77.289566874218039 28.527584512047849, 77.289594194974725 28.527553776196584)",-1357519944,32647,4
25570,253,Mathura Road,479DOWN,11,,"LINESTRING (77.289594194974725 28.527553776196584, 77.290803138457818 28.526558276125055, 77.291144647916312 28.526264577990744, 77.291520308320656 28.525904285512027, 77.29185498759 28.525484228878071, 77.29210087440012 28.525093200548088, 77.292326270642718 28.524685096745181)",-1357519944,33092,445
25571,254,Mathura Road,479DOWN,10,,"LINESTRING (77.292326270642718 28.524685096745181, 77.292701931047077 28.524019153301104)",-1357519944,33177,85
25572,255,Mathura Road,479DOWN,10.5,,"LINESTRING (77.292701931047077 28.524019153301104, 77.2936308367742 28.522151096563103)",-1357519944,33409,232
25573,256,Mathura Road,479DOWN,10,,"LINESTRING (77.2936308367742 28.522151096563103, 77.2949285727165 28.519514643543481)",-1357519944,33736,327
25574,257,Mathura Road,479DOWN,10,,"LINESTRING (77.2949285727165 28.519514643543481, 77.295010534986545 28.51934388881423, 77.295044685932382 28.519294369942745)",-1357519944,33763,27
25575,258,Mathura Road,479DOWN,10,,"LINESTRING (77.295044685932382 28.519294369942745, 77.2953383840667 28.518705266126833, 77.295365704823382 28.518657454802643, 77.295775516173578 28.517673907562163)",-1357519944,33961,198
25576,259,Mathura Road,479DOWN,10,,"LINESTRING (77.295775516173578 28.517673907562163, 77.296335591685519 28.516311284822745)",-1357519944,34124,163
25577,260,Mathura Road,479DOWN,11,,"LINESTRING (77.296335591685519 28.516311284822745, 77.296629289819833 28.51558557722343)",-1357519944,34211,87
25578,261,Mathura Road,479DOWN,11,,"LINESTRING (77.296629289819833 28.51558557722343, 77.296642950198176 28.515556548919456)",-1357519944,34214,3
25579,262,Mathura Road,479DOWN,11,,"LINESTRING (77.296642950198176 28.515556548919456, 77.296690761522356 28.515433605514396)",-1357519944,34228,14
25580,263,Mathura Road,479DOWN,11,,"LINESTRING (77.296690761522356 28.515433605514396, 77.296922987954147 28.514880360191626)",-1357519944,34294,66
25581,264,Mathura Road,479DOWN,11,,"LINESTRING (77.296922987954147 28.514880360191626, 77.29714838419676 28.514303209206759, 77.29723034646679 28.514106841268124)",-1357519944,34386,92
25582,265,Mathura Road,479DOWN,11,,"LINESTRING (77.29723034646679 28.514106841268124, 77.297489893655253 28.513457973296969)",-1357519944,34463,77
25583,266,Mathura Road,479DOWN,11,,"LINESTRING (77.297489893655253 28.513457973296969, 77.297660648384507 28.5130413317576)",-1357519944,34513,50
25584,267,Mathura Road,479DOWN,11,,"LINESTRING (77.297660648384507 28.5130413317576, 77.298316346544823 28.511509661836225)",-1357519944,34698,185
25585,268,Mathura Road,479DOWN,11,,"LINESTRING (77.298316346544823 28.511509661836225, 77.298357327679838 28.511414039187844, 77.298391478625689 28.511333784465098, 77.298391478625689 28.511330369370512)",-1357519944,34719,21
25586,269,Mathura Road,479DOWN,11,,"LINESTRING (77.298391478625689 28.511330369370512, 77.299033516407675 28.509790161712672)",-1357519944,34904,185
25587,270,Mathura Road,479DOWN,11,,"LINESTRING (77.299033516407675 28.509790161712672, 77.299538950406259 28.508591463513337)",-1357519944,35048,144
25588,271,Mathura Road,479DOWN,11,,"LINESTRING (77.299538950406259 28.508591463513337, 77.29960725229796 28.508422416331378)",-1357519944,35068,20
25589,272,Mathura Road,479DOWN,11,,"LINESTRING (77.29960725229796 28.508422416331378, 77.299661893811319 28.508285812547978, 77.299928271188946 28.507633529482241)",-1357519944,35162,94
25590,273,Mathura Road,479DOWN,11,,"LINESTRING (77.299928271188946 28.507633529482241, 77.300003403269812 28.507433746449021)",-1357519944,35185,23
25591,274,Mathura Road,479DOWN,11,,"LINESTRING (77.300003403269812 28.507433746449021, 77.300017063648156 28.507394472861293)",-1357519944,35189,4
25592,275,Mathura Road,479DOWN,11,,"LINESTRING (77.300017063648156 28.507394472861293, 77.300515667457574 28.506130887864838)",-1357519944,35340,151
25593,276,Mathura Road,479DOWN,11,,"LINESTRING (77.300515667457574 28.506130887864838, 77.3005293278359 28.506101859560868)",-1357519944,35343,3
25594,277,Mathura Road,479DOWN,11,,"LINESTRING (77.3005293278359 28.506101859560868, 77.300618120295113 28.505857680298039, 77.30067959199765 28.505553736879975, 77.3006454410518 28.505309557617146)",-1357519944,35433,90
25595,278,Mathura Road,479DOWN,11,,"LINESTRING (77.3006454410518 28.505309557617146, 77.300542988214247 28.504903161361529, 77.300242459890768 28.504071585830079, 77.30018781837741 28.503864972607687)",-1357519944,35601,168
25596,279,Mathura Road,479DOWN,10,,"LINESTRING (77.30018781837741 28.503864972607687, 77.300119516485708 28.503460283899365, 77.300133176864051 28.502722623469005, 77.3001468372424 28.502072047950559, 77.300153667431559 28.501937151714451, 77.300194648566574 28.501797132836465, 77.300262950458276 28.501626378107215, 77.300392724052514 28.501406104506483, 77.300542988214247 28.5012199818516, 77.300795705213545 28.501030444102131)",-1357519944,35943,342
25597,280,Mathura Road,479DOWN,10,,"LINESTRING (77.300795705213545 28.501030444102131, 77.301000610888636 28.500875057298515)",-1357519944,35971,28
25598,281,Mathura Road,479DOWN,10,,"LINESTRING (77.301000610888636 28.500875057298515, 77.301055252402 28.5008323686162)",-1357519944,35978,7
25599,282,Mathura Road,479DOWN,12,,"LINESTRING (77.301055252402 28.5008323686162, 77.301232837320427 28.500692349738216)",-1357519944,36003,25
25600,283,Mathura Road,479DOWN,12,,"LINESTRING (77.301232837320427 28.500692349738216, 77.301403592049667 28.500513057272503, 77.301560686400578 28.500296198766357, 77.301635818481458 28.500128859131692, 77.301717780751488 28.499949566665979)",-1357519944,36102,99
25601,284,Mathura Road,479DOWN,13,,"LINESTRING (77.301717780751488 28.499949566665979, 77.301758761886518 28.499821500619039, 77.30190902604825 28.499285330769194)",-1357519944,36178,76
25602,285,Mathura Road,479DOWN,12.5,,"LINESTRING (77.30190902604825 28.499285330769194, 77.301936346804936 28.499162387364134, 77.302004648696638 28.498747453372054, 77.302066120399161 28.498310321265176, 77.302230044939236 28.497710972165507, 77.302339327965967 28.497480453281018)",-1357519944,36385,207
25603,286,Mathura Road,479DOWN,11,,"LINESTRING (77.302339327965967 28.497480453281018, 77.302708158181147 28.496035868271562)",-1357519944,36550,165
25604,287,Mathura Road,479DOWN,11,,"LINESTRING (77.302708158181147 28.496035868271562, 77.303049667639641 28.494680075721313)",-1357519944,36705,155
25605,288,Mathura Road,479DOWN,11,,"LINESTRING (77.303049667639641 28.494680075721313, 77.303090648774671 28.494507613444771)",-1357519944,36724,19
25606,289,Mathura Road,479DOWN,11,,"LINESTRING (77.303090648774671 28.494507613444771, 77.303343365773955 28.493530896393459, 77.303575592205732 28.492654924632404)",-1357519944,36937,213
25607,290,Mathura Road,479DOWN,11,,"LINESTRING (77.303575592205732 28.492654924632404, 77.303575592205732 28.492651509537819, 77.303582422394911 28.492632726517602)",-1357519944,36939,2
25608,0,Mathura Road,479UP,11,,"LINESTRING (77.303343365773955 28.493530896393459, 77.303336535584791 28.49355138696097)",535405809,2,2
25609,1,Mathura Road,479UP,11,,"LINESTRING (77.303336535584791 28.49355138696097, 77.303336535584791 28.493556509602847, 77.303090648774671 28.494507613444771)",535405809,111,109
25610,2,Mathura Road,479UP,11,,"LINESTRING (77.303090648774671 28.494507613444771, 77.303049667639641 28.494680075721313)",535405809,130,19
25611,3,Mathura Road,479UP,11,,"LINESTRING (77.303049667639641 28.494680075721313, 77.302708158181147 28.496035868271562)",535405809,285,155
25612,4,Mathura Road,479UP,11,,"LINESTRING (77.302708158181147 28.496035868271562, 77.302339327965967 28.497480453281018)",535405809,450,165
25613,5,Mathura Road,479UP,12.5,,"LINESTRING (77.302339327965967 28.497480453281018, 77.302230044939236 28.497710972165507, 77.302066120399161 28.498310321265176, 77.302004648696638 28.498747453372054, 77.301936346804936 28.499162387364134, 77.30190902604825 28.499285330769194)",535405809,657,207
25614,6,Mathura Road,479UP,13,,"LINESTRING (77.30190902604825 28.499285330769194, 77.301758761886518 28.499821500619039, 77.301717780751488 28.499949566665979)",535405809,733,76
25615,7,Mathura Road,479UP,12,,"LINESTRING (77.301717780751488 28.499949566665979, 77.301635818481458 28.500128859131692, 77.301560686400578 28.500296198766357, 77.301403592049667 28.500513057272503, 77.301232837320427 28.500692349738216)",535405809,832,99
25616,8,Mathura Road,479UP,12,,"LINESTRING (77.301232837320427 28.500692349738216, 77.30104842221283 28.500840906352664)",535405809,858,26
25617,9,Mathura Road,479UP,10,,"LINESTRING (77.30104842221283 28.500840906352664, 77.300980120321128 28.500890425224146)",535405809,867,9
25618,10,Mathura Road,479UP,10,,"LINESTRING (77.300980120321128 28.500890425224146, 77.30092547880777 28.500931406359168)",535405809,874,7
25619,11,Mathura Road,479UP,10,,"LINESTRING (77.30092547880777 28.500931406359168, 77.300898158051083 28.50095360447397)",535405809,877,3
25620,12,Mathura Road,479UP,10,,"LINESTRING (77.300898158051083 28.50095360447397, 77.300542988214247 28.5012199818516, 77.300392724052514 28.501406104506483, 77.300262950458276 28.501626378107215, 77.300194648566574 28.501797132836465, 77.300153667431559 28.501937151714451, 77.3001468372424 28.502072047950559, 77.300133176864051 28.502722623469005, 77.300119516485708 28.503460283899365, 77.30018781837741 28.503864972607687)",535405809,1233,356
25621,13,Mathura Road,479UP,11,,"LINESTRING (77.30018781837741 28.503864972607687, 77.300242459890768 28.504071585830079, 77.300542988214247 28.504903161361529, 77.3006454410518 28.505309557617146)",535405809,1401,168
25622,14,Mathura Road,479UP,11,,"LINESTRING (77.3006454410518 28.505309557617146, 77.30067959199765 28.505553736879975, 77.300618120295113 28.505857680298039, 77.30006487497235 28.507281774739987)",535405809,1633,232
25623,15,Mathura Road,479UP,11,,"LINESTRING (77.30006487497235 28.507281774739987, 77.300058044783185 28.507310803043961)",535405809,1636,3
25624,16,Mathura Road,479UP,11,,"LINESTRING (77.300058044783185 28.507310803043961, 77.299989742891484 28.507483265320502)",535405809,1656,20
25625,17,Mathura Road,479UP,11,,"LINESTRING (77.299989742891484 28.507483265320502, 77.299928271188946 28.507633529482241)",535405809,1674,18
25626,18,Mathura Road,479UP,11,,"LINESTRING (77.299928271188946 28.507633529482241, 77.299661893811319 28.508285812547978, 77.29960725229796 28.508422416331378)",535405809,1768,94
25627,19,Mathura Road,479UP,11,,"LINESTRING (77.29960725229796 28.508422416331378, 77.299538950406259 28.508591463513337)",535405809,1788,20
25628,20,Mathura Road,479UP,11,,"LINESTRING (77.299538950406259 28.508591463513337, 77.299033516407675 28.509790161712672)",535405809,1932,144
25629,21,Mathura Road,479UP,11,,"LINESTRING (77.299033516407675 28.509790161712672, 77.298316346544823 28.511509661836225)",535405809,2139,207
25630,22,Mathura Road,479UP,11,,"LINESTRING (77.298316346544823 28.511509661836225, 77.297660648384507 28.5130413317576)",535405809,2324,185
25631,23,Mathura Road,479UP,11,,"LINESTRING (77.297660648384507 28.5130413317576, 77.297489893655253 28.513457973296969)",535405809,2374,50
25632,24,Mathura Road,479UP,11,,"LINESTRING (77.297489893655253 28.513457973296969, 77.29723034646679 28.514106841268124)",535405809,2451,77
25633,25,Mathura Road,479UP,11,,"LINESTRING (77.29723034646679 28.514106841268124, 77.29714838419676 28.514303209206759, 77.296922987954147 28.514880360191626)",535405809,2543,92
25634,26,Mathura Road,479UP,11,,"LINESTRING (77.296922987954147 28.514880360191626, 77.296759063414058 28.515279926258071)",535405809,2591,48
25635,27,Mathura Road,479UP,11,,"LINESTRING (77.296759063414058 28.515279926258071, 77.2967522332249 28.515297001730996)",535405809,2593,2
25636,28,Mathura Road,479UP,11,,"LINESTRING (77.2967522332249 28.515297001730996, 77.296335591685519 28.516311284822745)",535405809,2715,122
25637,29,Mathura Road,479UP,10,,"LINESTRING (77.296335591685519 28.516311284822745, 77.295775516173578 28.517673907562163)",535405809,2878,163
25638,30,Mathura Road,479UP,10,,"LINESTRING (77.295775516173578 28.517673907562163, 77.295365704823382 28.518657454802643)",535405809,2996,118
25639,31,Mathura Road,479UP,10,,"LINESTRING (77.295365704823382 28.518657454802643, 77.295365704823382 28.518660869897229, 77.2953383840667 28.518705266126833, 77.295044685932382 28.519294369942745)",535405809,3075,79
25640,32,Mathura Road,479UP,10,,"LINESTRING (77.295044685932382 28.519294369942745, 77.295010534986545 28.51934388881423, 77.2949285727165 28.519514643543481)",535405809,3102,27
25641,33,Mathura Road,479UP,10,,"LINESTRING (77.2949285727165 28.519514643543481, 77.2936308367742 28.522151096563103)",535405809,3429,327
25642,34,Mathura Road,479UP,10.5,,"LINESTRING (77.2936308367742 28.522151096563103, 77.292701931047077 28.524019153301104)",535405809,3661,232
25643,35,Mathura Road,479UP,10,,"LINESTRING (77.292701931047077 28.524019153301104, 77.292326270642718 28.524685096745181)",535405809,3746,85
25644,36,Mathura Road,479UP,11,,"LINESTRING (77.292326270642718 28.524685096745181, 77.29210087440012 28.525093200548088, 77.29185498759 28.525484228878071, 77.291520308320656 28.525904285512027, 77.291144647916312 28.526264577990744, 77.290803138457818 28.526558276125055, 77.289751289325622 28.527434247886109)",535405809,4169,423
25645,37,Mathura Road,479UP,11,,"LINESTRING (77.289751289325622 28.527434247886109, 77.289594194974725 28.527553776196584)",535405809,4190,21
25646,38,Mathura Road,479UP,10,,"LINESTRING (77.289594194974725 28.527553776196584, 77.289307327029576 28.52783722904714)",535405809,4234,44
25647,39,Mathura Road,479UP,10,,"LINESTRING (77.289307327029576 28.52783722904714, 77.289273176083725 28.527869672445696)",535405809,4239,5
25648,40,Mathura Road,479UP,10,,"LINESTRING (77.289273176083725 28.527869672445696, 77.28877457227432 28.528359738518645, 77.28865162886926 28.528494634754754, 77.2885286854642 28.528648314011079)",535405809,4359,120
25649,41,Mathura Road,479UP,11,,"LINESTRING (77.2885286854642 28.528648314011079, 77.288296459032409 28.529015436678968, 77.288214496762379 28.529167408388, 77.287879817493049 28.530017766939668, 77.287558798602049 28.530779333032122, 77.287429025007825 28.531091814186652)",535405809,4657,298
25650,42,Mathura Road,479UP,11,,"LINESTRING (77.287429025007825 28.531091814186652, 77.28722411933272 28.531585295354184, 77.287073855170988 28.531919974623516)",535405809,4757,100
25651,43,Mathura Road,479UP,11,,"LINESTRING (77.287073855170988 28.531919974623516, 77.28705336460348 28.531960955758535)",535405809,4762,5
25652,44,Mathura Road,479UP,11,,"LINESTRING (77.28705336460348 28.531960955758535, 77.287005553279286 28.53206682369067)",535405809,4774,12
25653,45,Mathura Road,479UP,11,,"LINESTRING (77.287005553279286 28.53206682369067, 77.28680747779336 28.532500540702966)",535405809,4827,53
25654,46,Mathura Road,479UP,11.5,,"LINESTRING (77.28680747779336 28.532500540702966, 77.2858854022554 28.53431737102219, 77.285776119228686 28.534518861602706, 77.2853184965543 28.535357267323324, 77.285216043716744 28.535541682430914, 77.285195553149237 28.535577540924056, 77.284806232366535 28.536236654178964, 77.2847242700965 28.536383503246117, 77.284614987069773 28.536573040995588, 77.283959288909458 28.537626597675061, 77.283337741695 28.538572578875108)",535405809,5606,779
25655,47,Mathura Road,479UP,11.5,,"LINESTRING (77.283337741695 28.538572578875108, 77.2831055152632 28.538724550584138)",535405809,5636,30
25656,48,Mathura Road,479UP,11.5,,"LINESTRING (77.2831055152632 28.538724550584138, 77.28262057183214 28.539475871392842)",535405809,5735,99
25657,49,Mathura Road,479UP,11.5,,"LINESTRING (77.28262057183214 28.539475871392842, 77.282593251075454 28.539527097811618)",535405809,5741,6
25658,50,Mathura Road,479UP,11.5,,"LINESTRING (77.282593251075454 28.539527097811618, 77.28258642088629 28.539542465737249, 77.2825386095621 28.539614182723536)",535405809,5752,11
25659,51,Mathura Road,479UP,11.5,,"LINESTRING (77.2825386095621 28.539614182723536, 77.282169779346916 28.540150352573381, 77.282149288779408 28.540182795971937)",535405809,5828,76
25660,52,Mathura Road,479UP,11,,"LINESTRING (77.282149288779408 28.540182795971937, 77.2803734395952 28.54244188103992, 77.279410382922237 28.543674730185106)",535405809,6322,494
25661,53,Mathura Road,479UP,11,,"LINESTRING (77.279410382922237 28.543674730185106, 77.279342081030535 28.543756692455148)",535405809,6333,11
25662,54,Mathura Road,479UP,11,,"LINESTRING (77.279342081030535 28.543756692455148, 77.279321590463013 28.543790843401, 77.279321590463013 28.543794258495581)",535405809,6337,4
25663,55,Mathura Road,479UP,11,,"LINESTRING (77.279321590463013 28.543794258495581, 77.279048382896221 28.544169918899932, 77.2787546847619 28.544649739689127, 77.278536118708473 28.545080041606838, 77.278017024331547 28.546138720928187, 77.2775730620355 28.546867843622088, 77.2772520431445 28.547289607803336, 77.27671245820008 28.547882126713834)",535405809,6879,542
25664,56,Mathura Road,479UP,11,,"LINESTRING (77.27671245820008 28.547882126713834, 77.27667830725423 28.547917985206979)",535405809,6884,5
25665,57,Mathura Road,479UP,11,,"LINESTRING (77.27667830725423 28.547917985206979, 77.276664646875886 28.5479350606799, 77.276616835551692 28.547991409740554)",535405809,6894,10
25666,58,Mathura Road,479UP,11,,"LINESTRING (77.276616835551692 28.547991409740554, 77.275872344932168 28.548790541873448, 77.275414722257779 28.549319881534121, 77.27516200525848 28.549623824952189, 77.274444835395627 28.550573221246818, 77.274438005206463 28.550585174077867)",535405809,7271,377
25667,59,Mathura Road,479UP,11,,"LINESTRING (77.274438005206463 28.550585174077867, 77.274356042936418 28.55070299484105)",535405809,7286,15
25668,60,Mathura Road,479UP,11,,"LINESTRING (77.274356042936418 28.55070299484105, 77.274328722179746 28.550730315597729)",535405809,7290,4
25669,61,Mathura Road,479UP,11,,"LINESTRING (77.274328722179746 28.550730315597729, 77.2734476277768 28.551930721344359, 77.272347967320442 28.553395796921329, 77.272143061645338 28.553832929028207)",535405809,7713,423
25670,62,Mathura Road,479UP,10,,"LINESTRING (77.272143061645338 28.553832929028207, 77.271965476726919 28.554066863007282)",535405809,7745,32
25671,63,Mathura Road,479UP,10,,"LINESTRING (77.271965476726919 28.554066863007282, 77.271316608755768 28.554922344200826, 77.271275627620739 28.554971863072307)",535405809,7871,126
25672,64,Mathura Road,479UP,10,,"LINESTRING (77.271275627620739 28.554971863072307, 77.271268797431574 28.554987230997941)",535405809,7872,1
25673,65,Mathura Road,479UP,10,,"LINESTRING (77.271268797431574 28.554987230997941, 77.271241476674888 28.555023089491083)",535405809,7877,5
25674,66,Mathura Road,479UP,10,,"LINESTRING (77.271241476674888 28.555023089491083, 77.271241476674888 28.555026504585669, 77.270995589864768 28.555347523476659)",535405809,7922,45
25675,67,Mathura Road,479UP,10,,"LINESTRING (77.270995589864768 28.555347523476659, 77.270660910595439 28.555789778225417)",535405809,7983,61
25676,68,Mathura Road,479UP,10,,"LINESTRING (77.270660910595439 28.555789778225417, 77.269943740732586 28.55673405187817)",535405809,8114,131
25677,69,Mathura Road,479UP,14.5,,"LINESTRING (77.269943740732586 28.55673405187817, 77.269752495435839 28.556995306613924, 77.269732004868317 28.557020919823312)",535405809,8153,39
25678,70,Mathura Road,479UP,14.5,,"LINESTRING (77.269732004868317 28.557020919823312, 77.269609061463257 28.557191674552563)",535405809,8176,23
25679,71,Mathura Road,479UP,14.5,,"LINESTRING (77.269609061463257 28.557191674552563, 77.269513438814883 28.557318033052209)",535405809,8193,17
25680,72,Mathura Road,479UP,14.5,,"LINESTRING (77.269513438814883 28.557318033052209, 77.269117287843017 28.557861033091225)",535405809,8267,74
25681,73,Mathura Road,479UP,14.5,,"LINESTRING (77.269117287843017 28.557861033091225, 77.269103627464673 28.557884938753318)",535405809,8270,3
25682,74,Mathura Road,479UP,14.5,,"LINESTRING (77.269103627464673 28.557884938753318, 77.269096797275509 28.557902014226244)",535405809,8272,2
25683,75,Mathura Road,479UP,14.5,,"LINESTRING (77.269096797275509 28.557902014226244, 77.268912382167926 28.558153023678241)",535405809,8306,34
25684,76,Mathura Road,479UP,11,,"LINESTRING (77.268912382167926 28.558153023678241, 77.268065438710835 28.559320986026314)",535405809,8466,160
25685,77,Mathura Road,479UP,11,,"LINESTRING (77.268065438710835 28.559320986026314, 77.267840042468222 28.55963175963355)",535405809,8508,42
25686,78,Mathura Road,479UP,11,,"LINESTRING (77.267840042468222 28.55963175963355, 77.267382419793833 28.560241354016974)",535405809,8592,84
25687,79,Mathura Road,479UP,11,,"LINESTRING (77.267382419793833 28.560241354016974, 77.2671160424162 28.560603354042982, 77.266972608443638 28.560799721981621)",535405809,8669,77
25688,80,Mathura Road,479UP,16,,"LINESTRING (77.266972608443638 28.560799721981621, 77.266842834849413 28.560958523879826, 77.266699400876831 28.561163429554924)",535405809,8719,50
25689,81,Mathura Road,479UP,16,,"LINESTRING (77.266699400876831 28.561163429554924, 77.266453514066711 28.561494693729671)",535405809,8764,45
25690,82,Mathura Road,479UP,16,,"LINESTRING (77.266453514066711 28.561494693729671, 77.26641936312086 28.561547627695738)",535405809,8771,7
25691,83,Mathura Road,479UP,16,,"LINESTRING (77.26641936312086 28.561547627695738, 77.266405702742532 28.561568118263249)",535405809,8773,2
25692,84,Mathura Road,479UP,16,,"LINESTRING (77.266405702742532 28.561568118263249, 77.26577049514971 28.562411646625744)",535405809,8890,117
25693,85,Mathura Road,479UP,12,,"LINESTRING (77.26577049514971 28.562411646625744, 77.265394834745365 28.562911957982447)",535405809,8959,69
25694,86,Mathura Road,479UP,12,,"LINESTRING (77.265394834745365 28.562911957982447, 77.264773287530886 28.563777684459748)",535405809,9077,118
25695,87,Mathura Road,479UP,12,,"LINESTRING (77.264773287530886 28.563777684459748, 77.264629853558318 28.563945024094412)",535405809,9101,24
25696,88,Mathura Road,479UP,12,,"LINESTRING (77.264629853558318 28.563945024094412, 77.264445438450736 28.564214816566629)",535405809,9137,36
25697,89,Mathura Road,479UP,12,,"LINESTRING (77.264445438450736 28.564214816566629, 77.264322495045676 28.564380448654)",535405809,9159,22
25698,90,Mathura Road,479UP,12,,"LINESTRING (77.264322495045676 28.564380448654, 77.263946834641317 28.564882467557997)",535405809,9228,69
25699,91,Mathura Road,479UP,12.5,,"LINESTRING (77.263946834641317 28.564882467557997, 77.263386759129375 28.565635495913991)",535405809,9332,104
25700,92,Mathura Road,479UP,12.5,,"LINESTRING (77.263386759129375 28.565635495913991, 77.262970117590015 28.56620069406781)",535405809,9410,78
25701,93,Mathura Road,479UP,12.5,,"LINESTRING (77.262970117590015 28.56620069406781, 77.262710570401552 28.566549033715479)",535405809,9458,48
25702,94,Mathura Road,479UP,12.5,,"LINESTRING (77.262710570401552 28.566549033715479, 77.262669589266523 28.566595137492378)",535405809,9464,6
25703,95,Mathura Road,479UP,12.5,,"LINESTRING (77.262669589266523 28.566595137492378, 77.262669589266523 28.566601967681546, 77.262512494915612 28.5668171186404, 77.262307589240521 28.567090326207204, 77.262075362808744 28.567397684719854)",535405809,9575,111
25704,96,Mathura Road,479UP,12.5,,"LINESTRING (77.262075362808744 28.567397684719854, 77.262048042052058 28.567438665854873, 77.261542608053475 28.568104609298949, 77.26128989105419 28.568440996115573)",535405809,9720,145
25705,97,Mathura Road,479UP,12.5,,"LINESTRING (77.26128989105419 28.568440996115573, 77.260688834407219 28.569248665984926)",535405809,9832,112
25706,98,Mathura Road,479UP,12.5,,"LINESTRING (77.260688834407219 28.569248665984926, 77.260326834381218 28.569719949037658)",535405809,9898,66
25707,99,Mathura Road,479UP,12.5,,"LINESTRING (77.260326834381218 28.569719949037658, 77.2600809475711 28.570064873590745, 77.26001947586856 28.570151958502663)",535405809,9957,59
25708,100,Mathura Road,479UP,12.5,,"LINESTRING (77.26001947586856 28.570151958502663, 77.259623324896708 28.570703496278139, 77.259507211680813 28.570850345345296, 77.259234004114 28.5712362510334)",535405809,10106,149
25709,101,Mathura Road,479UP,12.5,,"LINESTRING (77.259234004114 28.5712362510334, 77.259111060708946 28.57140529821536)",535405809,10129,23
25710,102,Mathura Road,479UP,12.5,,"LINESTRING (77.259111060708946 28.57140529821536, 77.2590769097631 28.57144798689767)",535405809,10135,6
25711,103,Mathura Road,479UP,12.5,,"LINESTRING (77.2590769097631 28.57144798689767, 77.259063249384766 28.571463354823305, 77.258872004088 28.57172631710635)",535405809,10173,38
25712,104,Mathura Road,479UP,8,,"LINESTRING (77.258872004088 28.57172631710635, 77.258516834251154 28.571938052970619, 77.258366570089422 28.571984156747519, 77.25817532479266 28.572016600146075, 77.258038721009257 28.572008062409612, 77.257943098360883 28.571996109578564)",535405809,10284,111
25713,105,Mahatma Gandhi Marg,479UP,12,,"LINESTRING (77.257943098360883 28.571996109578564, 77.25694589074206 28.571261864242789, 77.25657706052688 28.57123454348611)",535405809,10463,179
