ORGNIZATION NAME (TD/ DTC),DEPOT NAME,BUS NO,BUS ROUTE,REPORT TIME,SPEED,LATEST POI DETAIL IN BUS ROUTE,GPS LOCATION LONGITUDE,GPS LOCATION LATITUDE
CLUSTER,,DL1PC6826,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6829,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PD0199,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6462,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6457,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6870,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6470,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6534,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6473,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6658,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PD0202,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PD0002,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6850,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6873,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6456,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6864,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6852,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PD0198,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PD0204,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PD0201,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC5424,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PC6938,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8327,,2021-12-18 04:00:00,,,,
DTC,,DL1PC0859,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8066,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7118,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7409,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7287,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7939,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7979,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7928,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7545,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7538,,2021-12-18 04:00:00,,,,
DTC,,DL1PC0858,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8002,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9638,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1125,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7377,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9635,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7543,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1087,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1537,,2021-12-18 04:00:00,,,,
DTC,,DL1PC0588,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1534,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1156,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9781,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9182,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7891,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8324,,2021-12-18 04:00:00,,,,
DTC,Peera Ghari,DL1PC7188,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PD0629,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7182,,2021-12-18 04:00:00,,,,
DTC,Peera Ghari,DL1PC7181,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7166,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9714,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9550,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9630,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9531,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9553,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9786,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9188,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8793,,2021-12-18 04:00:00,,,,
DTC,,DL1PC0719,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9207,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9168,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3298,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1086,,2021-12-18 04:00:00,,,,
DTC,,DL1PC0675,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1481,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7813,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7160,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7599,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8006,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7840,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7278,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8316,,2021-12-18 04:00:00,,,,
DTC,,DL1PC0830,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7655,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7390,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9556,,2021-12-18 04:00:00,,,,
DTC,,DL1PC0422,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9802,,2021-12-18 04:00:00,,,,
DTC,,DL1PC0780,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1098,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9319,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8768,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9567,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9169,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3548,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9568,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9626,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9631,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9535,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9546,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9536,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9639,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9552,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9539,,2021-12-18 04:00:00,,,,
DTC,,DL1PC0721,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9634,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8792,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9222,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9711,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8738,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7688,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9715,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9719,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7683,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7284,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7359,,2021-12-18 04:00:00,,,,
DTC,Rohini3,DL1PC7945,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8333,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8742,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1124,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1493,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7681,,2021-12-18 04:00:00,,,,
DTC,TEHKHAND,DL1PC7314,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7693,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7682,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1114,,2021-12-18 04:00:00,,,,
DTC,,DL1PC0930,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7931,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7548,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7281,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7936,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8359,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7448,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8345,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7546,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7199,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7282,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7204,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7215,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7346,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7249,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7202,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7230,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7231,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9208,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9186,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9209,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9204,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3268,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9771,,2021-12-18 04:00:00,,,,
DTC,Peera Ghari,DL1PC3313,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7734,,2021-12-18 04:00:00,,,,
DTC,Peera Ghari,DL1PC3065,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7918,,2021-12-18 04:00:00,,,,
DTC,,DL1PC0684,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7539,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8746,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9429,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8329,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9221,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9171,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7930,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1116,,2021-12-18 04:00:00,,,,
DTC,BBM DTC,DL1PC9088,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3064,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7168,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9986,,2021-12-18 04:00:00,,,,
DTC,BBM DTC,DL1PC9098,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8740,,2021-12-18 04:00:00,,,,
DTC,Peera Ghari,DL1PC8305,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9850,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9801,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8751,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9102,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3309,,2021-12-18 04:00:00,,,,
DTC,,DL1PC1078,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9800,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9520,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9518,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9849,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8231,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9816,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8396,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3263,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8357,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8394,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9795,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9565,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7285,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7365,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9970,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8750,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8034,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8356,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8735,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8338,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8734,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9813,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8743,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8335,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3597,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8323,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8339,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8321,,2021-12-18 04:00:00,,,,
DTC,,DL1PC7158,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3273,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3599,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8341,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3593,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8344,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8355,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8337,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8395,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8748,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8737,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8336,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3435,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8331,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9891,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8745,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8330,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3539,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8322,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8317,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3541,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8350,,2021-12-18 04:00:00,,,,
DTC,,DL1PC9959,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3601,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3261,,2021-12-18 04:00:00,,,,
DTC,,DL1PC8319,,2021-12-18 04:00:00,,,,
DTC,,DL1PC3286,,2021-12-18 04:00:00,,,,
CLUSTER,,DL1PD3212,,2021-12-17 23:57:59,21,Goyla Village (DC4326),77.008636,28.587476
CLUSTER,,DL1PD0853,,2021-12-17 23:44:21,12,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD0683,,2021-12-17 23:41:45,11,Kair Depot (DC3528),76.930783,28.618117
DTC,Rohini3,DL1PC8483,,2021-12-17 23:38:12,30,Rohini Sector-3-4 (DTC1783),77.109209,28.695333
CLUSTER,,DL1PD0859,,2021-12-17 23:31:58,7,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD1335,,2021-12-17 23:31:57,6,Kair Depot (DC3528),76.930783,28.618117
DTC,,DL1PC9257,,2021-12-17 23:24:10,23,Gazipur Depot (U03667),77.315817,28.64195
CLUSTER,,DL1PD0626,,2021-12-17 23:20:55,9,Kair Depot (DC3528),76.930783,28.618117
DTC,,DL1PC8705,,2021-12-17 23:16:02,46,Inderpuri A-Block (U01490),77.1511,28.6287
CLUSTER,,DL1PD2525,,2021-12-17 23:14:09,16,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD0219,,2021-12-17 23:13:17,0,Kair Depot (DC3528),76.930783,28.618117
DTC,,DL1PC9540,,2021-12-17 23:10:16,54,Nehru Place Terminal (U03089),77.2552,28.5481
DTC,,DL1PC9044,,2021-12-17 23:10:05,44,Nehru Place Terminal (U03089),77.2552,28.5481
CLUSTER,,DL1PD0704,,2021-12-17 23:06:20,6,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD3215,,2021-12-17 23:01:52,29,Madhu Vihar (U00566),77.0614,28.599883
CLUSTER,,DL1PD1015,,2021-12-17 22:58:21,6,Kair Depot (DC3531),76.930672,28.618288
CLUSTER,,DL1PD2983,,2021-12-17 22:57:33,11,Dichau Kalan Depot (U00288),76.997763,28.629315
DTC,,DL1PC7984,,2021-12-17 22:57:05,37,Shadipur Depot (U01542),77.1553,28.6536
CLUSTER,,DL1PD1031,,2021-12-17 22:50:19,20,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD0854,,2021-12-17 22:47:58,8,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD1012,,2021-12-17 22:46:57,12,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD1195,,2021-12-17 22:46:18,9,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD0718,,2021-12-17 22:44:17,11,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD0829,,2021-12-17 22:42:42,8,Kair Depot (DC3528),76.930783,28.618117
DTC,,DL1PC9727,,2021-12-17 22:40:15,10,Sultanpuri Terminal (U00667),77.075467,28.70305
CLUSTER,,DL1PD3078,,2021-12-17 22:39:19,19,Madhu Vihar (U00566),77.0614,28.599883
CLUSTER,,DL1PD2862,,2021-12-17 22:38:02,40,Dwarka Sec 2-6 (U00585),77.0654,28.597267
DTC,,DL1PC9205,,2021-12-17 22:37:54,11,Rojdoot Hotel (U03054),77.2525,28.5827
CLUSTER,,DL1PD2798,,2021-12-17 22:33:54,36,Dichau Kalan Depot (U00288),76.997763,28.629315
CLUSTER,,DL1PD3007,,2021-12-17 22:32:44,14,Dichau Kalan Depot (U00288),76.997763,28.629315
CLUSTER,,DL1PD0695,,2021-12-17 22:27:47,31,Raja Garden (U01206),77.1266,28.6513
DTC,Rohini3,DL1PC8492,,2021-12-17 22:26:50,33,Rohini Sector-3-4 (DTC1783),77.109209,28.695333
DTC,,DL1PC8985,,2021-12-17 22:24:58,30,TELCO Gazipur (U03651),77.3154,28.6409
CLUSTER,,DL1PC6328,,2021-12-17 22:22:32,17,Lajpat Nagar (Ring Road) (U03031),77.24548,28.5655
CLUSTER,,DL1PC5509,,2021-12-17 22:22:12,33,Super Bazar (U02634),77.22305,28.632583
CLUSTER,,DL1PD2654,,2021-12-17 22:20:11,17,Dichau Kalan Depot (U00288),76.997763,28.629315
CLUSTER,,DL1PD1307,,2021-12-17 22:19:12,24,Mitraon Village (Kair Village Road) (DC4029),76.944717,28.608446
DTC,Rohini3,DL1PC8558,,2021-12-17 22:17:54,24,Rohini Sector-3-4 (DTC1783),77.109209,28.695333
CLUSTER,,DL1PD1542,,2021-12-17 22:15:21,0,Kair Depot (DC3528),76.930783,28.618117
DTC,SHADIPUR,DL1PC8696,,2021-12-17 22:13:52,37,Inderpuri A-Block (U01490),77.1511,28.6287
CLUSTER,,DL1PC6343,,2021-12-17 22:12:42,10,Ishpat Bhawan (U02857),77.2365,28.592517
CLUSTER,,DL1PD2998,,2021-12-17 22:12:32,18,Dwarka Puri (U00690),77.078083,28.6076
CLUSTER,,DL1PD2855,,2021-12-17 22:10:55,24,Dichau Kalan Depot (U00288),76.997763,28.629315
DTC,Rohini3,DL1PC8612,,2021-12-17 22:10:22,23,Rohini Sector-3-4 (DTC1783),77.109209,28.695333
CLUSTER,,DL1PD0727,,2021-12-17 22:10:05,16,Mitraon Village (Kair Village Road) (DC4029),76.944717,28.608446
DTC,Rohini3,DL1PC8537,,2021-12-17 22:09:42,15,Multan Nagar (U01020),77.105783,28.6783
CLUSTER,,DL1PD3611,,2021-12-17 22:06:53,40,Rail Bhawan Metro Station / Krishi Bhawan (U02466),77.212067,28.61495
CLUSTER,,DL1PD2981,,2021-12-17 22:02:28,16,Dichau Kalan Depot (U00288),76.997763,28.629315
CLUSTER,,DL1PC5782,,2021-12-17 21:58:25,39,Ishpat Bhawan (U02857),77.2365,28.592517
CLUSTER,,DL1PD0679,,2021-12-17 21:58:00,34,Khera More / Ghuman Hera Crossing (DC3547),76.97521,28.611152
DTC,,DL1PC9938,,2021-12-17 21:57:38,5,Sultanpuri Machhi Market (DTC1888),77.075311,28.700271
DTC,,DL1PC7960,,2021-12-17 21:53:37,32,C Block Yamuna Vihar (DTC1134),77.278402,28.702097
CLUSTER,,DL1PD1333,,2021-12-17 21:53:06,11,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD2844,,2021-12-17 21:51:43,8,Hari Nagar Shaheed Pawan Sahni Chowk (U01047),77.110518,28.624804
CLUSTER,,DL1PD3590,,2021-12-17 21:51:10,39,RR Line (U99893A),77.155333,28.60415
DTC,,DL1PC8026,,2021-12-17 21:50:19,44,East Punjabi Bagh (NS0347),77.1392,28.6712
CLUSTER,,DL1PD2454,,2021-12-17 21:46:50,14,Hari Nagar Shaheed Pawan Sahni Chowk (U01047),77.110518,28.624804
CLUSTER,,DL1PC6326,,2021-12-17 21:46:11,24,Gupta Market (U03997A),77.239667,28.56485
DTC,,DL1PC9244,,2021-12-17 21:43:28,0,Anand Vihar ISBT Terminal (U03679),77.314618,28.64671
DTC,,DL1PC9643,,2021-12-17 21:42:29,49,Nehru Place Terminal (U03089),77.2552,28.5481
CLUSTER,,DL1PD2649,,2021-12-17 21:39:32,36,Dwarka Sec 13 (U00422),77.03635,28.605733
CLUSTER,,DL1PD3038,,2021-12-17 21:35:09,11,Madhu Vihar (U00566),77.0614,28.599883
DTC,,DL1PC7588,,2021-12-17 21:32:45,39,Shiv Murti / Dwarka More (U99827),77.108437,28.534898
DTC,,DL1PC7353,,2021-12-17 21:32:06,10,Uttam Nagar Terminal(U00600) (U00600),77.066948,28.625329
CLUSTER,,DL1PD0080,,2021-12-17 21:31:12,24,Najafgarh Dhansa More (U00198),76.9789,28.6115
CLUSTER,,DL1PD3571,,2021-12-17 21:31:12,15,Gupta Market (U03997A),77.239667,28.56485
CLUSTER,,DL1PC5564,,2021-12-17 21:30:21,39,OS Communication / Masjid Moth (U02852),77.235833,28.54045
CLUSTER,,DL1PD1545,,2021-12-17 21:26:11,11,Kair Depot (DC3528),76.930783,28.618117
DTC,,DL1PC9326,,2021-12-17 21:25:31,32,Gazipur Depot (U03667),77.315817,28.64195
DTC,Rohini3,DL1PC8682,,2021-12-17 21:25:11,42,Punjabi Bagh Power House (U01459),77.146921,28.672673
DTC,,DL1PC8023,,2021-12-17 21:23:18,14,Sultanpuri C Block (U00666),77.0752,28.7016
DTC,,DL1PC9858,,2021-12-17 21:23:17,17,Madipur JJ Colony Metro Station (U01117),77.118204,28.676398
CLUSTER,,DL1PD0222,,2021-12-17 21:23:09,16,Mitraon Village (Kair Village Road) (DC4029),76.944717,28.608446
DTC,,DL1PC9382,,2021-12-17 21:22:16,18,Maharaj Pur Check Post (U03683),77.316583,28.643267
CLUSTER,,DL1PD3578,,2021-12-17 21:21:18,41,Gupta Market (U03997A),77.239667,28.56485
DTC,SHADIPUR,DL1PC7962,,2021-12-17 21:18:56,43,Campa Cola (U01511),77.1519,28.661933
CLUSTER,,DL1PD2627,,2021-12-17 21:18:24,23,Jharoda Crossing (DC3555),76.980845,28.614227
CLUSTER,,DL1PD2987,,2021-12-17 21:18:20,22,Madhu Vihar (U00566),77.0614,28.599883
CLUSTER,,DL1PD1442,,2021-12-17 21:17:18,34,Andrews Ganj (U02788),77.230515,28.565963
CLUSTER,,DL1PD0212,,2021-12-17 21:17:02,33,Khera More / Ghuman Hera Crossing (DC3547),76.97521,28.611152
CLUSTER,,DL1PD3568,,2021-12-17 21:15:52,38,Nehru Nagar (U03074),77.253994,28.569338
CLUSTER,,DL1PD0698,,2021-12-17 21:15:46,19,NajafGarh Dhansa Stand (U00193),76.977817,28.6115
DTC,,DL1PC8093,,2021-12-17 21:15:22,36,Samalkha Crossing (U99912A),77.09342,28.538036
DTC,,DL1PC9290,,2021-12-17 21:14:43,15,Gazipur Depot (U03667),77.315817,28.64195
CLUSTER,,DL1PC6967,,2021-12-17 21:09:50,23,Palika Kendra (U03991A),77.216783,28.628567
CLUSTER,,DL1PD2959,,2021-12-17 21:08:19,35,Uttam Nagar / A1 Janak Puri (U00603),77.067867,28.624233
CLUSTER,,DL1PD2292,,2021-12-17 21:07:09,27,Jharoda Crossing (DC3555),76.980845,28.614227
DTC,,DL1PC9408,,2021-12-17 21:05:47,14,Gazipur Depot (U03667),77.315817,28.64195
CLUSTER,,DL1PD1302,,2021-12-17 21:03:38,38,Khera More / Ghuman Hera Crossing (DC3547),76.97521,28.611152
DTC,Rohini3,DL1PC3230,,2021-12-17 21:02:22,18,Dev Nagar / Khalsa College (U02025),77.187824,28.655613
DTC,,DL1PC9952,,2021-12-17 21:00:52,27,Naraina Village (Ring Road) (U01321),77.136245,28.618692
CLUSTER,,DL1PD0250,,2021-12-17 20:58:04,9,Nazafgarh Dhansa More (U00190),76.978565,28.612021
DTC,,DL1PC7124,,2021-12-17 20:57:12,15,Dwarka Sec-1 Mahalaxmi Apartment (U00640),77.071911,28.596107
DTC,,DL1PC7303,,2021-12-17 20:52:17,6,Jaitpur Crossing (U03538),77.302417,28.496767
CLUSTER,,DL1PD2306,,2021-12-17 20:49:53,33,Shyam Vihar (DC4324),77.000404,28.591403
CLUSTER,,DL1PD1534,,2021-12-17 20:49:27,13,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD0111,,2021-12-17 20:49:07,27,Kiran Garden (U00488),77.048462,28.620524
DTC,,DL1PC9320,,2021-12-17 20:47:57,37,Maidan Garhi Crossing (SDM Court) (U02383),77.2078,28.51955
DTC,,DL1PC9576,,2021-12-17 20:47:47,37,Ishwar Nagar (U03204),77.266217,28.5616
DTC,,DL1PC9283,,2021-12-17 20:42:58,14,Maharaj Pur Check Post (U03683),77.316583,28.643267
CLUSTER,,DL1PD1544,,2021-12-17 20:40:03,8,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD0213,,2021-12-17 20:39:48,14,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PD1536,,2021-12-17 20:39:41,19,Kakrola Bridge (U00377),77.024856,28.619758
CLUSTER,,DL1PD2534,,2021-12-17 20:37:14,20,Najafgarh Terminal (U00192),76.977953,28.614467
DTC,,DL1PC8932,,2021-12-17 20:35:57,20,Nehru Place Terminal (U03089),77.2552,28.5481
CLUSTER,,DL1PD3594,,2021-12-17 20:35:50,39,Ishpat Bhawan (U02860),77.23675,28.5924
CLUSTER,,DL1PD3617,,2021-12-17 20:35:33,22,Kidwai Nagar (U02417),77.2095,28.5735
DTC,,DL1PC1293,,2021-12-17 20:34:11,25,Mangol Pur School (Outer Ring Road) (U01021),77.10618,28.69465
CLUSTER,,DL1PD2925,,2021-12-17 20:32:32,14,Pandwala Crossing (DC4456),76.974025,28.558043
DTC,,DL1PC9536,,2021-12-17 20:32:07,28,Nehru Place Terminal (U03089),77.2552,28.5481
CLUSTER,,DL1PD0652,,2021-12-17 20:29:56,0,Shakar Pur School Block (U03327),77.279467,28.6271
DTC,,DL1PC9633,,2021-12-17 20:29:34,17,SJ Hospital (U02309),77.204517,28.569483
DTC,,DL1PC1344,,2021-12-17 20:28:28,19,Netaji Subhash Palace (Wazirpur Depot) Road No 41 (U01486),77.151033,28.69415
DTC,,DL1PC9325,,2021-12-17 20:27:49,28,Gazipur Depot (U03676),77.316033,28.64175
CLUSTER,,DL1PD3071,,2021-12-17 20:27:02,39,Maya Enclave BSES Office (U01054),77.110867,28.6204
CLUSTER,,DL1PC6329,,2021-12-17 20:26:55,14,Gupta Market (U03997A),77.239667,28.56485
CLUSTER,,DL1PD2484,,2021-12-17 20:26:32,14,North Point (Nursing Home) (DC3667),77.2189,28.5428
CLUSTER,,DL1PC6324,,2021-12-17 20:25:42,31,Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal (DC0035),77.2333,28.591283
