ORGNIZATION NAME (TD/ DTC),DEPOT NAME,BUS NO,BUS ROUTE,REPORT TIME,SPEED,LATEST POI DETAIL IN BUS ROUTE,GPS LOCATION LONGITUDE,GPS LOCATION LATITUDE
CLUSTER,,DL1PD3611,,2021-12-18 22:01:48,37,Shivaji Park (U02663),77.224176,28.638735
DTC,,DL1PC7032,,2021-12-18 21:59:59,15,Kendriya Terminal (Church Road) (U02293Z),77.203805,28.617426
DTC,,DL1PC9938,,2021-12-18 21:59:53,33,Sultanpuri Machhi Market (DTC1888),77.075311,28.700271
CLUSTER,,DL1PD1333,,2021-12-18 21:59:12,36,Khera More / Ghuman Hera Crossing (DC3547),76.97521,28.611152
CLUSTER,,DL1PC6506,,2021-12-18 21:59:11,23,Badarpur Border (T) (U03556),77.304191,28.490559
CLUSTER,,DL1PD1307,,2021-12-18 21:58:37,11,Kair Depot (DC3528),76.930783,28.618117
DTC,,DL1PC7684,,2021-12-18 21:58:27,16,Sarita Vihar (U03398),77.286917,28.53205
CLUSTER,,DL1PD0655,,2021-12-18 21:58:24,22,Najafgarh Dhansa More (U00198),76.9789,28.6115
CLUSTER,,DL1PD0695,,2021-12-18 21:57:46,28,NajafGarh Delhi Gate (U00259),76.986253,28.612627
CLUSTER,,DL1PD2981,,2021-12-18 21:57:41,6,Dichau Kalan Depot (U00288),76.997763,28.629315
DTC,,DL1PC9765,,2021-12-18 21:56:47,0,Sannoth Village (DC5260),77.07098,28.81561
DTC,,DL1PC9030,,2021-12-18 21:55:12,49,Wazirpur Depot / Subhash Place Depot (WPD),77.15485,28.69485
DTC,,DL1PC7117,,2021-12-18 21:53:39,24,Bbm 11 Depot (DTC1104),77.210314,28.703444
CLUSTER,,DL1PD2454,,2021-12-18 21:50:39,33,Shakur Pur JJ Colony/ Britannia (DC4291),77.14563,28.684313
CLUSTER,,DL1PD2224,,2021-12-18 21:49:01,32,GTB Nagar (U02350),77.206457,28.698267
CLUSTER,,DL1PD2378,,2021-12-18 21:48:05,16,Old Delhi Railway Station (T) (U02686),77.225997,28.660416
DTC,Rohini3,DL1PC8479,,2021-12-18 21:45:45,12,B-Block Mangolpuri (U00905),77.0951,28.6881
DTC,,DL1PC9773,,2021-12-18 21:43:12,19,A-7 Narela / Harish Chandra Hospital (DC4973),77.102118,28.838325
DTC,,DL1PC8561,,2021-12-18 21:42:49,20,Sarojini Nagar Depot (DC4154),77.190001,28.573304
CLUSTER,,DL1PD1686,,2021-12-18 21:42:39,36,Central Work Shop II (U03362),77.2835,28.5164
DTC,,DL1PC9693,,2021-12-18 21:36:57,0,Rohini Depot-II (DC4625),77.121817,28.7299
DTC,,DL1PC7733,,2021-12-18 21:34:10,35,Mangol Pur Khurd (U00892),77.094333,28.700133
CLUSTER,,DL1PD3281,,2021-12-18 21:33:54,8,Bank Colony (U03628),77.31098,28.698391
DTC,,DL1PC8593,,2021-12-18 21:33:53,29,Satya Niketan (U01750),77.170333,28.587833
CLUSTER,,DL1PD3006,,2021-12-18 21:33:43,0,Uttam Nagar Terminal(U00600) (U00600),77.066948,28.625329
DTC,Rohini4,DL1PC9588,,2021-12-18 21:32:53,38,Rohini Sec-17 Crossing (DTC1775),77.117365,28.738749
CLUSTER,,DL1PD0899,,2021-12-18 21:32:47,31,Jhilmil Xing (U03695),77.3175,28.6763
CLUSTER,,DL1PD0241,,2021-12-18 21:30:58,7,Okhla Depot IV CWS II (DC1102),77.284767,28.51835
CLUSTER,,DL1PD0329,,2021-12-18 21:30:26,31,Rajghat Cluster Depot (DC3810),77.2526,28.643983
CLUSTER,,DL1PC6702,,2021-12-18 21:30:03,13,Badarpur Village (U03522),77.300033,28.502163
DTC,,DL1PC9545,,2021-12-18 21:29:42,22,Chand Cinema (U03637),77.3125,28.612983
DTC,,DL1PC9385,,2021-12-18 21:27:00,34,Gargi College (DTC1241),77.21908,28.555425
CLUSTER,,DL1PD0867,,2021-12-18 21:26:01,6,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PC6884,,2021-12-18 21:24:49,24,Kushak Nallah Depot (DC0098),77.225132,28.580036
CLUSTER,,DL1PD1698,,2021-12-18 21:23:32,18,Govind Puri Metro Station (U03185),77.2641,28.545217
CLUSTER,,DL1PD1099,,2021-12-18 21:20:47,18,Anand Vihar ISBT Main Road (DC3612),77.317879,28.64696
CLUSTER,,DL1PC5496,,2021-12-18 21:18:16,9,ARSD College / Dhaula Kuan (DC3648),77.1683,28.590667
DTC,,DL1PC9930,,2021-12-18 21:18:14,28,Welcome Colony Metro Station (U03296),77.275,28.672
CLUSTER,,DL1PD0698,,2021-12-18 21:16:16,21,Power House NajafGarh (U00279),76.996217,28.61325
CLUSTER,,DL1PD3382,,2021-12-18 21:15:09,0,Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal (DC0035),77.2333,28.591283
CLUSTER,,DL1PD0080,,2021-12-18 21:15:02,7,Najafgarh Dhansa More (U00198),76.9789,28.6115
CLUSTER,,DL1PD0040,,2021-12-18 21:14:34,30,Kushak Nallah Depot (DC0098),77.225132,28.580036
CLUSTER,,DL1PD3128,,2021-12-18 21:13:29,12,Paharganj Police Station (U02396),77.208267,28.64615
DTC,,DL1PC7925,,2021-12-18 21:12:40,7,Naraina Vihar (U01287),77.134167,28.625783
DTC,,DL1PC7935,,2021-12-18 21:10:49,26,Lado Sarai (U02078),77.193533,28.5226
CLUSTER,,DL1PD3633,,2021-12-18 21:10:15,0,Mori Gate Terminal (U02627),77.221928,28.666217
CLUSTER,,DL1PD1178,,2021-12-18 21:09:23,5,Kair Depot (DC3528),76.930783,28.618117
CLUSTER,,DL1PC5564,,2021-12-18 21:09:12,21,Don Basco School (DC0076),77.247072,28.527839
CLUSTER,,DL1PC6131,,2021-12-18 21:07:54,7,Badarpur Border (T) (U03551),77.303787,28.49089
CLUSTER,,DL1PC6207,,2021-12-18 21:05:04,27,Kushak Nallah Depot (DC0098),77.225132,28.580036
CLUSTER,,DL1PC6493,,2021-12-18 21:04:58,32,Jaitpur Crossing (U03544),77.302647,28.497217
CLUSTER,,DL1PC6490,,2021-12-18 21:00:17,27,Prem Nagar (U03331),77.2801,28.5036
CLUSTER,,DL1PC5439,,2021-12-18 21:00:12,24,AIIMS Ring Road (U02473),77.212498,28.569169
CLUSTER,,DL1PD0039,,2021-12-18 20:56:28,18,Kushak Nallah Depot (DC0098),77.225132,28.580036
DTC,,DL1PC9431,,2021-12-18 20:53:48,9,R K Puram Sec-1 (U01848),77.1783,28.5647
CLUSTER,,DL1PD1681,,2021-12-18 20:51:46,22,Okhla Depot IV CWS II (DC1102),77.284767,28.51835
DTC,,DL1PC9462,,2021-12-18 20:50:30,21,Africa Avenue (U02085),77.191283,28.569183
DTC,Narela,DL1PC9223,,2021-12-18 20:50:21,8,Old Delhi Railway Station (Fatehpuri) (U02699),77.225222,28.660217
CLUSTER,,DL1PD1349,,2021-12-18 20:48:57,13,New Surya Kiran Apartments (DC5605),77.304887,28.634444
CLUSTER,,DL1PC5384,,2021-12-18 20:48:56,0,Badarpur Border (T) (U03556),77.304191,28.490559
DTC,,DL1PC8232,,2021-12-18 20:45:32,6,Nityanand Marg (DC0030),77.225091,28.668342
DTC,,DL1PC9651,,2021-12-18 20:44:43,28,New Multan Nagar (U01035),77.1116,28.67755
CLUSTER,,DL1PC5382,,2021-12-18 20:43:47,31,Defence Colony (Lajpat Nagar Mtr Stn) (U02880),77.237783,28.573217
DTC,Peera Ghari,DL1PC7174,,2021-12-18 20:41:26,15,Qamruddin Nagar Terminal (DC3711),77.05392,28.68199
CLUSTER,,DL1PD2176,,2021-12-18 20:41:16,29,ISBT Nityanand Marg (DC3596),77.2253,28.668217
CLUSTER,,DL1PD1536,,2021-12-18 20:38:08,31,Police Station Najafgarh (U00226),76.982955,28.609573
CLUSTER,,DL1PD2753,,2021-12-18 20:37:44,0,Hari Nagar Shaheed Pawan Sahni Chowk (U01047),77.110518,28.624804
CLUSTER,,DL1PD2306,,2021-12-18 20:34:48,0,Dichau Kalan Depot (U00288),76.997763,28.629315
DTC,,DL1PC0557,,2021-12-18 20:34:38,9,Qutub Garh Village (T) (DC4902),76.961916,28.800851
CLUSTER,,DL1PD2710,,2021-12-18 20:34:16,22,Dichau Kalan Depot (U00288),76.997763,28.629315
DTC,,DL1PC9338,,2021-12-18 20:33:35,0,Rajdoot Hotel (U03061),77.2527,28.5825
CLUSTER,,DL1PD3594,,2021-12-18 20:32:56,33,Ishpat Bhawan (U02860),77.23675,28.5924
CLUSTER,,DL1PC6204,,2021-12-18 20:32:04,36,Shivaji Park (U02663),77.224176,28.638735
DTC,,DL1PC9351,,2021-12-18 20:30:50,26,NANGLOI JJ COLONY NO 2 (DTC1544),77.058904,28.682073
CLUSTER,,DL1PD3071,,2021-12-18 20:29:17,0,Zunk Market (U01068),77.112183,28.618117
CLUSTER,,DL1PD0108,,2021-12-18 20:29:11,14,Nazafgarh Dhansa More (U00190),76.978565,28.612021
CLUSTER,,DL1PC5012,,2021-12-18 20:28:30,5,Lajpat Nagar (Ring Road) (U02951),77.242359,28.565142
CLUSTER,,DL1PC5392,,2021-12-18 20:26:13,26,Central School (MCKR) (U02792CS),77.2328,28.562733
