ORGNIZATION NAME (TD/ DTC),DEPOT NAME,BUS NO,BUS ROUTE,POI NAME,POI longitude,POI latitude,POI TIME STAMP,POI SPEED
CLUSTER,Rajghat3,DL1PD0333,534UP_G,Press Enclave (U02389),77.2079,28.5279,19-12-2021 13:24,36
DTC,Subhash Place,DL1PC0039,39DOWN_D,Radhu Palace (DC4268),77.28546,28.636446,19-12-2021 13:24,9
DTC,KeshoPur,DL1PC7246,442_UP_P1_D,RR Line (U99893A),77.155333,28.60415,19-12-2021 13:24,53
CLUSTER,Rajghat3,DL1PC6613,522CLDOWN_C,Lodhi Road Crossing (U02644),77.2237,28.592,19-12-2021 13:24,30
CLUSTER,Rajghat3,DL1PD0098,261DOWN_G,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.2437,28.639867,19-12-2021 13:23,36
DTC,WAZIRPUR,DL1PC7687,191UP_P2_,Rohini Depot-II (DC4625),77.121817,28.7299,19-12-2021 13:23,27
CLUSTER,Seemapuri,DL1PD3049,847UP_G,Inderlok (DC0073),77.1667,28.6708,19-12-2021 13:23,6
CLUSTER,Rajghat3,DL1PC6619,534UP_G,Hauz Rani (U02525),77.2159,28.5294,19-12-2021 13:23,28
CLUSTER,Dilshad Gardan,DL1PC6647,311AUP_C,Majeedia Hospital (U03057),77.252617,28.515017,19-12-2021 13:23,27
CLUSTER,OKHLA,DL1PC6347,717ADOWN_G,Batra Hospital / Satya Narayan Mandir (U02957),77.2433,28.5124,19-12-2021 13:23,13
CLUSTER,BBM2,DL1PD2274,258UP_G,Sabhapur More (DC3741),77.243933,28.75015,19-12-2021 13:23,27
DTC,AND,DL1PC7041,519DOWN_D,PTS (DC5148),77.195504,28.532964,19-12-2021 13:23,15
CLUSTER,OKHLA,DL1PC6568,717ADOWN_G,Saidul-A-Jab / Saket Metro Station (DC4752),77.20203,28.520753,19-12-2021 13:23,33
CLUSTER,Dilshad Gardan,DL1PC6674,GL-23DOWN_G,Shastri Park Metro Depot (U02948),77.241183,28.673433,19-12-2021 13:23,37
CLUSTER,Rajghat3,DL1PD0333,534UP_G,Saket A block(Malviya Nagar Metro Station) (U02289),77.2052,28.5278,19-12-2021 13:23,24
DTC,KeshoPur,DL1PC7246,442_UP_P1_D,Garrision Eng. (U99942),77.147491,28.605333,19-12-2021 13:22,48
DTC,Sarojani Nagar,DL1PC7848,578DOWN_G,SJ Hospital (U02309),77.204517,28.569483,19-12-2021 13:22,6
CLUSTER,Seemapuri,DL1PD2587,205A_DOWN_C,Madarsa / Welcome Seelam Pur (DC3993),77.273917,28.680583,19-12-2021 13:22,29
CLUSTER,Rajghat3,DL1PC0272,212DOWN_C,Jhilmil Xing (U03689),77.3174,28.6761,19-12-2021 13:22,25
DTC,Sarojani Nagar,DL1PC9417,578DOWN_G,Kidwai Nagar (U02417),77.2095,28.5735,19-12-2021 13:22,27
CLUSTER,Rajghat3,DL1PC6613,522CLDOWN_C,Max Mueller Marg (U02636),77.2233,28.596,19-12-2021 13:22,31
DTC,AND,DL1PC7037,680DOWN_D,RK Puram Sec-1 (U01859),77.1785,28.5642,19-12-2021 13:22,29
DTC,Sarojani Nagar,DL1PC9384,611UP_P2_D,Nehru Nagar (U03077),77.253917,28.568283,19-12-2021 13:22,31
DTC,Subhash Place,DL1PC0052,39DOWN_D,Khureji Khas (DC4270),77.279067,28.64655,19-12-2021 13:22,6
CLUSTER,Dilshad Gardan,DL1PC6653,623UP_G,R K Puram Sec-2 (U02026),77.1885,28.5616,19-12-2021 13:22,7
CLUSTER,BBM2,DL1PD2440,211DOWN_G,Mayur Vihar Phase III A1 Block (U03809),77.33715,28.608717,19-12-2021 13:22,33
CLUSTER,Dilshad Gardan,DL1PC6674,GL-23DOWN_G,Shastri Park DMRC Depot (DC3594),77.243433,28.674167,19-12-2021 13:22,42
CLUSTER,OKHLA,DL1PD_0044,794DOWN_G,S O Flats Carriappa Marg/Carriappa Vihar (U01356A),77.139767,28.6003,19-12-2021 13:22,25
DTC,KALKAJI,DL1PC9037,502UP_D,PTS (DC5148),77.195504,28.532964,19-12-2021 13:22,17
CLUSTER,Kushak Nallah,DL1PC6698,429UP_G,Supreme Court / Pragati Maidan Metro Station (U02928PM),77.24065,28.622483,19-12-2021 13:22,27
CLUSTER,Seemapuri,DL1PD2134,246CLDOWN_G,Shahdara (Shyam Lal College) (U03349),77.283725,28.673364,19-12-2021 13:22,5
DTC,KeshoPur,DL1PC7324,883UP_G,Manohar Nagar (U00755),77.0831,28.6421,19-12-2021 13:22,19
CLUSTER,Rajghat3,DL1PD0333,534UP_G,PNB Geetanjali (U02244),77.2013,28.529313,19-12-2021 13:22,39
DTC,Subhash Place,DL1PB9840,114DOWN_P20_D,Avantika Xing (U00934),77.097,28.6982,19-12-2021 13:22,21
CLUSTER,Rajghat3,DL1PD0098,261DOWN_G,Darya Ganj Golcha Cinema (U02922),77.240515,28.643756,19-12-2021 13:22,17
DTC,AND,DL1PC7028,413UP_G,Geetanjali Enclave (U02223),77.199633,28.530317,19-12-2021 13:22,13
CLUSTER,Seemapuri,DL1PD2870,847UP_G,Inderlok (DC0073),77.1667,28.6708,19-12-2021 13:22,14
CLUSTER,Seemapuri,DL1PD3049,847UP_G,Inderlok (DC0073),77.1667,28.6708,19-12-2021 13:22,8
CLUSTER,Rajghat3,DL1PC6619,534UP_G,HaujRani / MaxHospital (U02468),77.212,28.5283,19-12-2021 13:22,31
DTC,KALKAJI,DL1PC9570,764UP_G,Indian Oil Station (DC3633),77.108783,28.577583,19-12-2021 13:22,54
CLUSTER,Seemapuri,DL1PD3049,847UP_G,Inderlok (DC0073),77.1667,28.6708,19-12-2021 13:22,10
CLUSTER,OKHLA,DL1PD0133,764UP_G,Najafgarh Terminal (U00192),76.977953,28.614467,19-12-2021 13:21,8
DTC,KANJHAWLA DTC,DL1PC8653,941DOWN_P4_D,Kanjhawala Depot (Narela Road) (U00312),77.002541,28.727519,19-12-2021 13:21,37
CLUSTER,Dilshad Gardan,DL1PC6674,GL-23DOWN_G,Shyam Giri Mandir (U03019),77.24775,28.6741,19-12-2021 13:21,16
DTC,AND,DL1PC7041,519DOWN_D,Lado Sarai DDA Flats (DTC1403),77.193262,28.530642,19-12-2021 13:21,36
CLUSTER,OKHLA,DL1PC6347,717ADOWN_G,Vayu Sena Bad (Tigri) (U02888),77.2389,28.5129,19-12-2021 13:21,18
DTC,SHADIPUR,DL1PC9868,522_UP_P2_D,Seikh Sarai Ph-II (DTC1841),77.232131,28.533607,19-12-2021 13:21,19
DTC,AND,DL1PC7037,680DOWN_D,Mohan Singh Market (U01831),77.176,28.5666,19-12-2021 13:21,37
CLUSTER,Seemapuri,DL1PD3048,85AEXTUP_C,Dharma Apartment (U03432),77.29005,28.6199,19-12-2021 13:21,33
CLUSTER,BBM2,DL1PD2274,258UP_G,Annpurna Mandir (DC3739),77.2467,28.7424,19-12-2021 13:21,40
CLUSTER,Rajghat3,DL1PC0272,212DOWN_C,Shahadara Border (Dilshad Garden Mtr Stn) (DC3662),77.321233,28.676167,19-12-2021 13:21,25
CLUSTER,BBM2,DL1PD2440,211DOWN_G,CRPF Camp (U03822),77.339833,28.611833,19-12-2021 13:21,21
CLUSTER,OKHLA,DL1PC6308,717ADOWN_G,Rang Puri (NH-8 Circle) (U01113),77.117833,28.543917,19-12-2021 13:21,31
CLUSTER,Seemapuri,DL1PD2380,221UP_C,Surya Nagar (U99883A),77.3217,28.6668,19-12-2021 13:21,23
CLUSTER,Dilshad Gardan,DL1PC6653,623UP_G,Mohammadpur Village (U02038),77.18915,28.564917,19-12-2021 13:21,27
CLUSTER,Seemapuri,DL1PD2501,73DOWN_G,Shankar Road (U01872),77.179283,28.638883,19-12-2021 13:21,18
CLUSTER,Seemapuri,DL1PD2587,205A_DOWN_C,Zafrabad School (DC3992),77.27525,28.683533,19-12-2021 13:21,6
DTC,KeshoPur,DL1PC7324,883UP_G,Krishna Park (U00742),77.0819,28.6391,19-12-2021 13:21,25
DTC,Subhash Place,DL1PC0039,39DOWN_D,Shakarpur Crossing (U03380),77.28495,28.635367,19-12-2021 13:21,33
DTC,VVD,DL1PC8588 ,523DOWN_D,Munirka Village (T) (U01800),77.173717,28.5585,19-12-2021 13:21,34
CLUSTER,Rajghat3,DL1PC6619,534UP_G,Press Enclave (U02389),77.2079,28.5279,19-12-2021 13:21,24
DTC,Subhash Place,DL1PC0128,39DOWN_D,Shiv Puri (DTC1864),77.27878,28.649514,19-12-2021 13:21,10
DTC,WAZIRPUR,DL1PC7687,191UP_P2_,Esi Hospital Rohini (DTC1220),77.126382,28.726411,19-12-2021 13:21,6
DTC,WAZIRPUR,DL1PC9014,165UP_G,Shahbad Dairy (U00920),77.096,28.7465,19-12-2021 13:21,18
CLUSTER,BBM2,DL1PC2327,348UP_G,Mayur Vihar Phase III A1 Block (U03809),77.33715,28.608717,19-12-2021 13:21,39
CLUSTER,Dichaone Kalan Cluster,DL1PD2835,S1DOWN_C,Janakpuri East Metro Station/ Nangli Zalib (U00776),77.0857,28.633,19-12-2021 13:21,12
CLUSTER,Dilshad Gardan,DL1PC6647,311AUP_C,Hamdard Nagar / Sangam Vihar (U03033),77.248667,28.512167,19-12-2021 13:21,0
DTC,KALKAJI,DL1PC9570,764UP_G,Prehlad Pur (DC3632),77.101783,28.579683,19-12-2021 13:21,28
CLUSTER,Kushak Nallah,DL1PC6193,445AUP_C,Guru Ravi Das Ashram / Tughlaqabad Extension (U03084),77.254483,28.51945,19-12-2021 13:21,28
CLUSTER,BBM2,DL1PD2274,258UP_G,Check Post (DC3736),77.247483,28.73905,19-12-2021 13:21,35
CLUSTER,Dilshad Gardan,DL1PC6674,GL-23DOWN_G,Shastri Park (DC3577),77.251826,28.673515,19-12-2021 13:21,35
CLUSTER,Dilshad Gardan,DL1PD3805,543ADOWN_G,Samalkha Crossing (U99828),77.092216,28.537488,19-12-2021 13:20,25
DTC,AND,DL1PC7028,413UP_G,Aurobindo College (U02303),77.2046,28.5327,19-12-2021 13:20,26
DTC,Subhash Place,DL1PC0039,39DOWN_D,Shakarpur (U03345),77.281942,28.633394,19-12-2021 13:20,36
DTC,Subhash Place,DL1PB9840,114DOWN_P20_D,Mangol Pur Khurd (U00892),77.094333,28.700133,19-12-2021 13:20,0
DTC,KALKAJI,DL1PC9037,502UP_D,Lado Sarai DDA Flats (DTC1403),77.193262,28.530642,19-12-2021 13:20,24
DTC,Subhash Place,DL1PC0128,39DOWN_D,Rashid Market (DC4271),77.278902,28.649389,19-12-2021 13:20,8
DTC,AND,DL1PC7037,680DOWN_D,R K Puram Sec-7 (U01782),77.1727,28.5706,19-12-2021 13:20,44
CLUSTER,Seemapuri,DL1PD2501,73DOWN_G,Rajender Nagar (U01818),77.176217,28.6407,19-12-2021 13:20,9
CLUSTER,Rajghat3,DL1PC6613,522CLDOWN_C,Prithviraj Road Crossing (U02591),77.220083,28.59745,19-12-2021 13:20,25
CLUSTER,Rajghat3,DL1PC6619,534UP_G,Saket A block(Malviya Nagar Metro Station) (U02289),77.2052,28.5278,19-12-2021 13:20,35
CLUSTER,BBM2,DL1PC2327,348UP_G,Bharti Public School (U03802),77.333967,28.606133,19-12-2021 13:20,27
CLUSTER,Dilshad Gardan,DL1PC6653,623UP_G,Bhikaji Cama Place (U02044),77.1896,28.568,19-12-2021 13:20,33
CLUSTER,OKHLA,DL1PC6568,717ADOWN_G,Lado Sarai (U02078),77.193533,28.5226,19-12-2021 13:20,37
CLUSTER,Kushak Nallah,DL1PC6193,445AUP_C,Jamia Hamdard Library (U03070),77.253667,28.517133,19-12-2021 13:20,21
CLUSTER,BBM2,DL1PD2274,258UP_G,Pusta No 5 Sonia Vihar (DC3735),77.246683,28.734467,19-12-2021 13:20,40
CLUSTER,Seemapuri,DL1PD3048,85AEXTUP_C,Govt Model School / Ambedkar Park (U03470),77.295083,28.621767,19-12-2021 13:20,12
CLUSTER,OKHLA,DL1PC6347,717ADOWN_G,Khanpur Extension / Devli Xing (U02834),77.2344,28.514,19-12-2021 13:20,14
DTC,Subhash Place,DL1PC0039,39DOWN_D,Laxmi Nagar (U03307),77.2789,28.6313,19-12-2021 13:20,29
CLUSTER,Dichaone Kalan Cluster,DL1PD2835,S1DOWN_C,Check Post Janak Puri (U00835),77.08913,28.634244,19-12-2021 13:20,28
DTC,Sarojani Nagar,DL1PC9384,611UP_P2_D,Maharani Bagh (U03189),77.264457,28.576295,19-12-2021 13:20,26
DTC,KeshoPur,DL1PC7246,442_UP_P1_D,COD Ring Road (NS0253),77.137456,28.612706,19-12-2021 13:20,20
CLUSTER,Dilshad Gardan,DL1PC6653,623UP_G,Africa Avenue (U02085),77.191283,28.569183,19-12-2021 13:20,33
DTC,AND,DL1PC7028,413UP_G,Malviya Nagar (U02439),77.208553,28.535406,19-12-2021 13:20,32
DTC,Rohini2,DL1PC9688,889DOWN_D,Naraini Mandir (DTC1546),77.110879,28.62032,19-12-2021 13:20,33
DTC,Sarojani Nagar,DL1PC7473,544UP_D,Siri Fort Road (U02734),77.228011,28.552915,19-12-2021 13:20,0
CLUSTER,Dilshad Gardan,DL1PD3805,543ADOWN_G,Samalkha Village (U00834),77.090227,28.534241,19-12-2021 13:20,32
CLUSTER,Seemapuri,DL1PD2134,246CLDOWN_G,Mansarovar Park Metro Station (U03509),77.2999,28.6759,19-12-2021 13:19,19
CLUSTER,OKHLA,DL1PD_0044,794DOWN_G,Thimiyan Park (NS0256),77.133517,28.602817,19-12-2021 13:19,31
CLUSTER,Dilshad Gardan,DL1PC6653,623UP_G,Nauroji Nagar (U02131),77.192628,28.569218,19-12-2021 13:19,33
CLUSTER,Kushak Nallah,DL1PC6193,445AUP_C,Majeedia Hospital (U03059),77.252817,28.514917,19-12-2021 13:19,26
DTC,KALKAJI,DL1PC9570,764UP_G,Palam Colony Flyover (U00809),77.096082,28.581392,19-12-2021 13:19,23
DTC,AND,DL1PC7037,680DOWN_D,RK Puram Sec-12(Sangam Cinema) (U01793),77.1735,28.5736,19-12-2021 13:19,36
DTC,WAZIRPUR,DL1PC9014,165UP_G,Shahbad Dairy Block A (U00949),77.0985,28.7458,19-12-2021 13:19,7
CLUSTER,OKHLA,DL1PC6568,717ADOWN_G,Lado Sarai Crossing (DC4751),77.191033,28.523333,19-12-2021 13:19,22
DTC,Subhash Place,DL1PC0052,39DOWN_D,East Guru Angad Nagar (DC4269),77.282733,28.64115,19-12-2021 13:19,21
DTC,AND,DL1PC7028,413UP_G,Begumpur (Malviya Nagar) (U02428),77.209733,28.536531,19-12-2021 13:19,21
DTC,SHADIPUR,DL1PC9868,522_UP_P2_D,Pushpa Bhawan (U02793PV),77.2312,28.527,19-12-2021 13:19,29
DTC,SUKHDEV VIHAR,DL1PC7534,403UP_G,Jama Masjid (U02879),77.237833,28.651317,19-12-2021 13:19,0
CLUSTER,Rajghat3,DL1PC6619,534UP_G,PNB Geetanjali (U02244),77.2013,28.529313,19-12-2021 13:19,30
CLUSTER,BBM2,DL1PD2274,258UP_G,Sonia Vihar (DC3732),77.246233,28.7324,19-12-2021 13:19,19
CLUSTER,Seemapuri,DL1PD2380,221UP_C,Shahdra Border (U03746),77.3231,28.6758,19-12-2021 13:19,10
CLUSTER,Dichaone Kalan Cluster,DL1PD2835,S1DOWN_C,Tilak Nagar Crossing (Najafgarh Road) (U00874),77.092917,28.63558,19-12-2021 13:19,20
DTC,Subhash Place,DL1PB9840,114DOWN_P20_D,Mangol Puri Y Block (U00831),77.08951,28.7029,19-12-2021 13:19,8
DTC,KALKAJI,DL1PC8924,544UP_D,R K Puram Sec-1 (U01848),77.1783,28.5647,19-12-2021 13:19,26
CLUSTER,Seemapuri,DL1PD2587,205A_DOWN_C,Babarpur Ext / Maujpur Crossing (DC3991),77.278462,28.689864,19-12-2021 13:19,28
CLUSTER,Seemapuri,DL1PD3048,85AEXTUP_C,Press Apartment (U03503),77.2983,28.62285,19-12-2021 13:19,37
CLUSTER,Kushak Nallah,DL1PC6698,429UP_G,ITO (U02944),77.241517,28.6291,19-12-2021 13:18,16
DTC,SHADIPUR,DL1PC9868,522_UP_P2_D,Pushp Vihar (U02772),77.230117,28.5248,19-12-2021 13:18,19
CLUSTER,Rajghat3,DL1PD0333,534UP_G,PTS (Geetanjali Enclave) (U02163),77.196833,28.531233,19-12-2021 13:18,12
CLUSTER,Rajghat3,DL1PC6613,522CLDOWN_C,Claridges Hotel (U02555),77.217783,28.602517,19-12-2021 13:18,39
DTC,WAZIRPUR,DL1PC7687,191UP_P2_,Anubhav Apartment (DC4628),77.132817,28.7223,19-12-2021 13:18,14
CLUSTER,Seemapuri,DL1PD2870,847UP_G,Shastri Nagar Shiv Mandir (U01790),77.173,28.6716,19-12-2021 13:18,36
DTC,KALKAJI,DL1PC9570,764UP_G,Dwarka Flyover (DC3630),77.091533,28.58395,19-12-2021 13:18,9
CLUSTER,OKHLA,DL1PD_0044,794DOWN_G,Kirbi Place (U04005A),77.128283,28.604833,19-12-2021 13:18,25
CLUSTER,OKHLA,DL1PC6568,717ADOWN_G,Ahinsa Sthal (U02045),77.189433,28.520483,19-12-2021 13:18,40
DTC,Rohini2,DL1PC9688,889DOWN_D,Hari Nagar Shaheed Pawan Sahni Chowk (U01056),77.1108,28.6252,19-12-2021 13:18,14
DTC,Sarojani Nagar,DL1PC7848,578DOWN_G,Nauroji Nagar (U02131),77.192628,28.569218,19-12-2021 13:18,37
CLUSTER,Kushak Nallah,DL1PC6193,445AUP_C,Hamdard Nagar / Sangam Vihar (U03036),77.249778,28.511838,19-12-2021 13:18,18
DTC,Sarojani Nagar,DL1PC9417,578DOWN_G,Kidwai Nagar (U02417),77.2095,28.5735,19-12-2021 13:18,30
DTC,WAZIRPUR,DL1PC7687,191UP_P2_,Goodwill Apartment (DC4629),77.13465,28.721,19-12-2021 13:18,33
CLUSTER,Seemapuri,DL1PD3048,85AEXTUP_C,Saraswati Kunj (U03531),77.301483,28.623867,19-12-2021 13:18,34
CLUSTER,Seemapuri,DL1PD2134,246CLDOWN_G,Telephone Exchange (U99890),77.309217,28.675817,19-12-2021 13:18,27
CLUSTER,BBM2,DL1PC2327,348UP_G,New Kondali A1 Crossing (U03786),77.329317,28.602883,19-12-2021 13:18,18
DTC,WAZIRPUR,DL1PC9014,165UP_G,St Xavier School (U00993),77.1027,28.7455,19-12-2021 13:18,23
DTC,AND,DL1PC7037,680DOWN_D,South Moti Bagh (U01817),77.175,28.578,19-12-2021 13:18,19
CLUSTER,BBM2,DL1PD2274,258UP_G,Gatta Factory Sonia Vihar (DC3744),77.24565,28.72945,19-12-2021 13:18,23
CLUSTER,Kushak Nallah,DL1PC6698,429UP_G,Shaheed Park (Bhagat Singh Terminal) (U99729),77.241217,28.6351,19-12-2021 13:17,40
CLUSTER,Rajghat3,DL1PD0098,261DOWN_G,Jama Masjid (U02879),77.237833,28.651317,19-12-2021 13:17,17
CLUSTER,Seemapuri,DL1PD2870,847UP_G,Shastri Nagar E Block (U01837),77.17605,28.6711,19-12-2021 13:17,33
CLUSTER,Dilshad Gardan,DL1PC6674,GL-23DOWN_G,Dharam Pura (U03167),77.261917,28.670717,19-12-2021 13:17,42
DTC,Sarojani Nagar,DL1PC9384,611UP_P2_D,Bala Sahib Gurudwara (U03202),77.26555,28.5821,19-12-2021 13:17,50
CLUSTER,OKHLA,DL1PC6308,717ADOWN_G,Shiv Murti (NH-8) (U01071A),77.111994,28.535967,19-12-2021 13:17,26
CLUSTER,Rajghat3,DL1PC6619,534UP_G,PTS (Geetanjali Enclave) (U02163),77.196833,28.531233,19-12-2021 13:17,37
CLUSTER,Rajghat3,DL1PC0272,212DOWN_C,Surya Nagar (U03724),77.321467,28.666933,19-12-2021 13:17,27
CLUSTER,BBM2,DL1PC2327,348UP_G,Mayur Vihar Phase 3 Crossing (U03766),77.32735,28.6018,19-12-2021 13:17,26
DTC,AND,DL1PC7041,519DOWN_D,Lado Sarai Crossing (DC4509),77.189983,28.52435,19-12-2021 13:17,31
DTC,WAZIRPUR,DL1PC9014,165UP_G,Shahbad Daulatpur School (U01030SB),77.107137,28.745775,19-12-2021 13:17,26
DTC,KANJHAWLA DTC,DL1PC8653,941DOWN_P4_D,Nirmal Hospital (DC4699),77.004467,28.73865,19-12-2021 13:17,37
CLUSTER,Seemapuri,DL1PD2134,246CLDOWN_G,Jhilmil Crossing / Dilshad Garden GT Road (U03636),77.311883,28.67615,19-12-2021 13:17,14
CLUSTER,OKHLA,DL1PC6568,717ADOWN_G,Qutub Minar Metro Sation (U99991),77.186167,28.51415,19-12-2021 13:17,28
DTC,WAZIRPUR,DL1PC7687,191UP_P2_,Prashant Vihar F-Block (DC4630),77.13875,28.718833,19-12-2021 13:17,32
DTC,KALKAJI,DL1PC9556,544UP_D,Badarpur Border (T) (U03551),77.303787,28.49089,19-12-2021 13:17,6
CLUSTER,OKHLA,DL1PC6347,717ADOWN_G,Ambedkar Nagar Depot (U02746),77.2286,28.5151,19-12-2021 13:17,15
CLUSTER,Seemapuri,DL1PD3048,85AEXTUP_C,Ras Vihar Apartment (PS Madhu Vihar) (U03578),77.3057,28.6253,19-12-2021 13:17,16
CLUSTER,Dilshad Gardan,DL1PD3805,543ADOWN_G,Kapashera Crossing (U99639),77.08675,28.528867,19-12-2021 13:16,30
DTC,KALKAJI,DL1PC9570,764UP_G,Manglapuri (DTC1436),77.086437,28.587226,19-12-2021 13:16,6
CLUSTER,Dilshad Gardan,DL1PC6653,623UP_G,SJ Hospital (U02309),77.204517,28.569483,19-12-2021 13:16,37
CLUSTER,Rajghat3,DL1PC6613,522CLDOWN_C,National Museum (U02559),77.218283,28.611817,19-12-2021 13:16,29
CLUSTER,Seemapuri,DL1PD2870,847UP_G,Shastri Nagar Metro Station (U01912),77.181336,28.669997,19-12-2021 13:16,22
CLUSTER,BBM2,DL1PD2274,258UP_G,Pusta No 3 Sonia Vihar (DC3730),77.244833,28.7256,19-12-2021 13:16,7
CLUSTER,Rajghat3,DL1PC0272,212DOWN_C,Ram Prastha Temple (U03713),77.3202,28.6632,19-12-2021 13:16,16
DTC,Subhash Place,DL1PC0128,39DOWN_D,Khureji Khas (DC4270),77.279067,28.64655,19-12-2021 13:16,0
CLUSTER,OKHLA,DL1PC6347,717ADOWN_G,Ambedkar Nagar Terminal (U02722),77.22728,28.515588,19-12-2021 13:16,23
DTC,Subhash Place,DL1PC0039,39DOWN_D,Rainy Well (U03157),77.260721,28.628274,19-12-2021 13:16,44
CLUSTER,BBM2,DL1PD2440,211DOWN_G,Mayur Vihar Phase III (T) Paper Market (DC3942),77.339438,28.617186,19-12-2021 13:16,0
DTC,AND,DL1PC7037,680DOWN_D,Moti Bagh 1 (U01906),77.1815,28.5812,19-12-2021 13:16,53
DTC,KALKAJI,DL1PC9037,502UP_D,Qutab (DTC1707),77.186182,28.526644,19-12-2021 13:16,21
CLUSTER,Seemapuri,DL1PD2587,205A_DOWN_C,Shiv Mandir (DC3989),77.283783,28.6898,19-12-2021 13:16,0
DTC,SNPD,DL1PC9310,794DOWN_G,R R Line (DC3649),77.150948,28.59572,19-12-2021 13:16,37
CLUSTER,Rajghat3,DL1PD0329,212DOWN_C,Anand Gram Kusht Ashram (U03726),77.319137,28.688607,19-12-2021 13:16,36
DTC,AND,DL1PC7028,413UP_G,Bhavishya Nidhi Enclave (U02424),77.2097,28.5422,19-12-2021 13:16,22
DTC,VVD,DL1PC8588 ,523DOWN_D,Munirka DDA Flats (U01791),77.17635,28.555433,19-12-2021 13:16,26
DTC,AND,DL1PC7041,519DOWN_D,Ahinsa Sthal (U02045),77.189433,28.520483,19-12-2021 13:16,39
CLUSTER,Seemapuri,DL1PD2501,73DOWN_G,East Patel Nagar (U01769),77.17315,28.642967,19-12-2021 13:16,14
CLUSTER,Dilshad Gardan,DL1PC6674,GL-23DOWN_G,Seelam Pur Metro Mall (U03223),77.268275,28.670962,19-12-2021 13:16,11
DTC,KANJHAWLA DTC,DL1PC8653,941DOWN_P4_D,Ladpur Village (DC4697),76.997508,28.739603,19-12-2021 13:16,0
CLUSTER,Dilshad Gardan,DL1PC6687,623UP_G,CPWD Colony Vasant Vihar (U01654),77.164694,28.554792,19-12-2021 13:16,14
CLUSTER,Rajghat3,DL1PD0333,534UP_G,DDA Flats Lado Sarai (U02090),77.192117,28.529833,19-12-2021 13:16,23
CLUSTER,Dilshad Gardan,DL1PC6653,623UP_G,AIIMS (U02487),77.213199,28.568921,19-12-2021 13:15,0
CLUSTER,Seemapuri,DL1PD3048,85AEXTUP_C,Parivar Apartment (U03609S),77.30935,28.62675,19-12-2021 13:15,32
DTC,GAZIPUR,DL1PC9408,534ADOWN_G,Taimur Nagar (U03208),77.2667,28.5708,19-12-2021 13:15,23
DTC,Sarojani Nagar,DL1PC7848,578DOWN_G,Bhikaji Cama Place (U02044),77.1896,28.568,19-12-2021 13:15,31
CLUSTER,Rajghat3,DL1PC6613,522CLDOWN_C,National Archives (U02575),77.2188,28.6156,19-12-2021 13:15,37
CLUSTER,BBM2,DL1PD2274,258UP_G,Pusta No 2 Sonia Vihar (DC3728),77.243933,28.721467,19-12-2021 13:15,36
CLUSTER,Seemapuri,DL1PD2587,205A_DOWN_C,Chhajjupur (DC3988),77.287,28.6894,19-12-2021 13:15,29
DTC,AND,DL1PC7037,680DOWN_D,Railway Museum (U01973),77.1853,28.587,19-12-2021 13:15,50
CLUSTER,Dilshad Gardan,DL1PC6674,GL-23DOWN_G,Welcome Colony (U03241),77.2698,28.6711,19-12-2021 13:15,35
CLUSTER,Seemapuri,DL1PD2134,246CLDOWN_G,Jhilmil Xing (U03689),77.3174,28.6761,19-12-2021 13:15,25
CLUSTER,Seemapuri,DL1PD2870,847UP_G,Sarai Rohilla Flyover (DC3911),77.181867,28.667017,19-12-2021 13:15,45
DTC,WAZIRPUR,DL1PC9014,165UP_G,Shahbad Daulatpur Gaon (U01065),77.1121,28.745183,19-12-2021 13:15,14
CLUSTER,Rajghat3,DL1PC6619,534UP_G,DDA Flats Lado Sarai (U02090),77.192117,28.529833,19-12-2021 13:15,38
CLUSTER,BBM2,DL1PC2327,348UP_G,Fire Station (U03734),77.322683,28.605317,19-12-2021 13:15,40
CLUSTER,Dilshad Gardan,DL1PC6687,623UP_G,CPWD Colony Vasant Vihar (U01654),77.164694,28.554792,19-12-2021 13:15,41
CLUSTER,Rajghat3,DL1PD0333,534UP_G,T.B. Hospital (U02060),77.1901,28.5284,19-12-2021 13:15,18
DTC,SHADIPUR,DL1PC9868,522_UP_P2_D,Ambedkar Nagar Terminal / DIPSAR (U02679),77.223607,28.516101,19-12-2021 13:15,28
CLUSTER,Rajghat3,DL1PD0329,212DOWN_C,Sunder Nagri (U03669),77.315743,28.692844,19-12-2021 13:15,19
CLUSTER,Seemapuri,DL1PD3048,85AEXTUP_C,Vijaya Laxmi Apartment (U03610),77.309017,28.6289,19-12-2021 13:15,30
DTC,Sarojani Nagar,DL1PC9384,611UP_P2_D,Sarai Kale Khan ISBT (U03139HT),77.258099,28.590307,19-12-2021 13:15,0
CLUSTER,Dilshad Gardan,DL1PC6653,623UP_G,South Extn Kotla Petrol Pump (U02567),77.216767,28.568767,19-12-2021 13:15,6
CLUSTER,OKHLA,DL1PC6568,717ADOWN_G,Andheria More / Chhatarpur Metro Station (DC4508),77.177233,28.508617,19-12-2021 13:15,31
CLUSTER,OKHLA,DL1PC6347,717ADOWN_G,DIPSAR College of Pharmacy (U02653),77.224366,28.516211,19-12-2021 13:15,21
CLUSTER,Rajghat3,DL1PC6619,534UP_G,T.B. Hospital (U02060),77.1901,28.5284,19-12-2021 13:14,27
DTC,AND,DL1PC7028,413UP_G,Panchsheel Club (U02408),77.208833,28.544567,19-12-2021 13:14,28
