name,city,Review
Chicken App,Delhi NCR,Good
Kebabs & Curries,Delhi NCR,Good
Al-Rim,Kolkata,Good
Piyali Restaurant,Kolkata,Good
Rasoi,Delhi NCR,Bad
Mr. King,Delhi NCR,Bad
Online Cake Palace,Delhi NCR,Bad
Thali King- Make My Thali,Delhi NCR,Bad
Rajubhai Bhurji Wala,Mumbai,Good
Indian Halal Meat Shop,Delhi NCR,Good
New Madras Cafe,Delhi NCR,Good
Momos Republic,Mumbai,Good
Baleshwar Rasoi,Delhi NCR,Bad
Wafflista Cafe,Delhi NCR,Bad
Rajasthali,Kolkata,Bad
Shree Sai Kulcha Hut,Mumbai,Bad
New Sethi's Restaurant,Delhi NCR,Good
Diet Brite,Delhi NCR,Good
Cafe Meals,Delhi NCR,Good
Wrap & Roll,Delhi NCR,Good
Lalaji Food Plaza,Kolkata,Bad
Om Sweets & Snacks,Delhi NCR,Bad
Hakka Treat,Delhi NCR,Bad
M M Fast Food Center,Kolkata,Bad
Desi Chulha,Delhi NCR,Good
Cheers Resto Bar,Delhi NCR,Good
Good Food Xpress & Bakery,Delhi NCR,Good
Delicious Treasure,Delhi NCR,Good
Thali Junction,Kolkata,Bad
Special Muradabadi Chicken Biryani,Delhi NCR,Bad
Kitchen Lab,Delhi NCR,Bad
Rani's Bakery,Mumbai,Bad
The Kitchen Exotica,Delhi NCR,Good
Choco Smith Gourmet Bakery,Delhi NCR,Good
Café Bogchi,Delhi NCR,Good
Song Dong Momos & Kathi Roll,Delhi NCR,Good
Vardaan Food Corner,Delhi NCR,Bad
Chaska Point,Delhi NCR,Bad
CHD Chache Di Hatti,Delhi NCR,Bad
Fabelle Chocolate Boutique - ITC Maurya,Delhi NCR,Bad
The Subtle Baker,Kolkata,Good
Frozen Fantasy,Delhi NCR,Good
Thooso,Mumbai,Good
Snickerdoodle-Virgin Bar & Cafe,Mumbai,Good
Rollick,Kolkata,Bad
Naturals Ice Cream,Delhi NCR,Bad
Ghar Jaisa Khana,Delhi NCR,Bad
Raja Sweets,Kolkata,Bad
Bake-Days,Delhi NCR,Good
Kerala Cafe,Delhi NCR,Good
Dana Pani Foods,Delhi NCR,Good
Dil Chinese Fast Food,Delhi NCR,Good
Richie's Cafe,Delhi NCR,Bad
Sunil Bakery,Delhi NCR,Bad
Techies Time to Tea,Delhi NCR,Bad
Chop Shop Chicken Shop,Delhi NCR,Bad
Shreya Restaurant & Bar,Mumbai,Good
S P Food Corner,Delhi NCR,Good
Asad's Cafe,Mumbai,Good
Zaika Muradabadi Chicken Restaurant,Delhi NCR,Good
Big Boss Chikan Corner,Delhi NCR,Bad
Burger Box,Delhi NCR,Bad
The Ramkrishna Sweets,Kolkata,Bad
Bedouin - Sher e Bengal,Kolkata,Bad
The Big Chill Cafe,Delhi NCR,Good
Saini Foods,Delhi NCR,Good
Aavakay,Mumbai,Good
Apni Rasoi,Delhi NCR,Good
Calcutta Chiit Chaat,Kolkata,Bad
Madan Sweets & Bakers,Delhi NCR,Bad
Choudhary  Food Station,Delhi NCR,Bad
King Of Food,Delhi NCR,Bad
Awadhi Biryani,Delhi NCR,Good
Guddu Ji Malai Chaap Wale,Delhi NCR,Good
La Taj,Delhi NCR,Good
Tulsa Hotel,Mumbai,Good
BurgerFi Cafe,Delhi NCR,Bad
Grillz Fries & More,Delhi NCR,Bad
Hometaste,Delhi NCR,Bad
Amor Churros,Mumbai,Bad
The Zaika King,Delhi NCR,Good
Only For Foodies,Kolkata,Good
Cumin,Kolkata,Good
West India Co. Bar & Kitchen,Mumbai,Good
Flavours of London,Delhi NCR,Bad
Shri Murli Wala,Delhi NCR,Bad
Dragonfly Experience,Delhi NCR,Bad
The Foodiez,Kolkata,Bad
Arhaan Chicken Corner,Delhi NCR,Good
The Mad Teapot/The Wishing Chair,Delhi NCR,Good
Bakers Reflection,Delhi NCR,Good
Jai Jagannath Payal Dhaba,Delhi NCR,Good
Binge Bakery And More,Delhi NCR,Bad
Food Express,Delhi NCR,Bad
Punjabi Rasoi,Delhi NCR,Bad
Mumma's Kitchen,Mumbai,Bad
Balli Machi Wala,Delhi NCR,Good
Baweja's Pizza Xpress,Delhi NCR,Good
Shahi Dahi Bhalle,Delhi NCR,Good
Aunty Momo,Delhi NCR,Good
CLA,Mumbai,Bad
Republic Of Chicken,Kolkata,Bad
Girdharilal Sweets & Namkeen,Delhi NCR,Bad
Nueva,Delhi NCR,Bad
Maa Tara Food Zone,Kolkata,Good
Khalifa,Delhi NCR,Good
Dolphin Restaurant,Kolkata,Good
Food Plaza,Delhi NCR,Good
Firdous,Delhi NCR,Bad
Ayyappan's - The South Indian Bistro,Mumbai,Bad
The Aroma of Bengal,Delhi NCR,Bad
Sam's Bakery,Delhi NCR,Bad
FFC Restaurant,Delhi NCR,Good
Curry Pot,Delhi NCR,Good
Chickenation,Delhi NCR,Good
Bistro N Beans,Delhi NCR,Good
Shradda,Mumbai,Bad
Picket Lane,Delhi NCR,Bad
Sunny Kebab Wala,Delhi NCR,Bad
Refresh Katta,Mumbai,Bad
Burmese Bahar,Kolkata,Good
Chinese Garage,Delhi NCR,Good
Sardar Kachori,Delhi NCR,Good
Hungryy Birdz,Kolkata,Good
Patiala Shahi Chicken & Fish Fry,Delhi NCR,Bad
