ORGNIZATION NAME (TD/ DTC),DEPOT NAME,BUS NO,BUS ROUTE,LAST POI DETAIL,FENSE BREAKING LONGITUDE,FENSE BREAKING LATITUDE,FENSE BREAKING TIME,SPEED WITH TIME STAMP,RETURN TO FENSE WITH TIME STAMP
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.135399,28.5711,2021-12-19 11:41:34,52.0,
RAJGHAT-1,RAJGHAT1,DL1PC3074,,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.2276,28.669001,2021-12-19 11:37:38,23.0,2021-12-19 11:39:12
RAJGHAT -III,Rajghat3,DL1PD0613,,IP Power House (ITO Ring Road) (U03015),77.317101,28.648701,2021-12-19 11:37:16,11.0,
TEHKHAND ,TEHKHAND,DL1PC7553,,E.S.I. Hospital (U99867),77.283203,28.614401,2021-12-19 11:36:46,39.0,
RAJGHAT -III,Rajghat3,DL1PD0333,,Press Apartment (U03503),77.318298,28.648701,2021-12-19 11:36:40,20.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.277802,28.628799,2021-12-19 11:33:46,33.0,2021-12-19 11:33:49
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.277802,28.628799,2021-12-19 11:33:46,33.0,
TEHKHAND ,TEHKHAND,DL1PC7589,,Kalindi Kunj Border (DTC1368),77.326202,28.555599,2021-12-19 11:33:06,21.0,
TEHKHAND ,TEHKHAND,DL1PC7589,,Kalindi Kunj Border (DTC1368),77.326202,28.555599,2021-12-19 11:33:06,21.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.164299,28.514601,2021-12-19 11:30:53,5.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.253403,28.628201,2021-12-19 11:29:47,42.0,2021-12-19 11:33:21
RAJGHAT -III,Rajghat3,DL1PC6619,,NSIC (U03196),77.318298,28.648701,2021-12-19 11:29:41,10.0,2021-12-19 11:32:01
RAJGHAT-1,RAJGHAT1,DL1PC3353,,Delhi Gate (U02885),77.2658,28.555201,2021-12-19 11:29:36,15.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.248802,28.6287,2021-12-19 11:28:57,34.0,2021-12-19 11:29:59
RAJGHAT -III,Rajghat3,DL1PD0570,,Maharaj Pur Check Post (U03683),77.314598,28.646799,2021-12-19 11:28:54,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.2472,28.6327,2021-12-19 11:28:06,14.0,2021-12-19 11:28:08
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.2472,28.634899,2021-12-19 11:27:23,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.2472,28.634899,2021-12-19 11:27:23,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.247101,28.636801,2021-12-19 11:26:51,42.0,2021-12-19 11:27:08
TEHKHAND ,TEHKHAND,DL1PC8077,,,77.303398,28.494301,2021-12-19 11:25:38,9.0,2021-12-19 11:29:41
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.305702,28.635799,2021-12-19 11:22:12,26.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.305702,28.635799,2021-12-19 11:22:12,26.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.305702,28.635799,2021-12-19 11:22:12,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC9895,,Inder Enclave (U00768),77.187302,28.656,2021-12-19 11:20:35,27.0,
RAJGHAT-1,RAJGHAT1,DL1PC9897,,DTC Rajghat Depot (DC3889),77.111603,28.834101,2021-12-19 11:19:53,9.0,
RAJGHAT -III,Rajghat3,DL1PD0571,,Maharaj Pur Check Post (U03683),77.095001,28.746901,2021-12-19 11:19:50,27.0,
RAJGHAT-1,RAJGHAT1,DL1PC9889,,,77.235001,28.641199,2021-12-19 11:14:39,8.0,
TEHKHAND ,TEHKHAND,DL1PC7577,,Minto Road Terminal (U02665),77.124496,28.5474,2021-12-19 11:14:23,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC3102,,,77.255302,28.6742,2021-12-19 11:13:36,32.0,
RAJGHAT-1,RAJGHAT1,DL1PC9874,,ISBT Kashmere Gate (U99914),77.304802,28.6129,2021-12-19 11:13:32,8.0,
RAJGHAT-1,RAJGHAT1,DL1PC9874,,ISBT Kashmere Gate (U99914),77.304802,28.6129,2021-12-19 11:13:32,8.0,
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.3368,28.6196,2021-12-19 11:12:44,23.0,
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.3368,28.6196,2021-12-19 11:12:44,23.0,
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.3368,28.6196,2021-12-19 11:12:44,23.0,
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.336502,28.619301,2021-12-19 11:12:33,9.0,2021-12-19 11:12:33
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.240501,28.6406,2021-12-19 11:12:07,28.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.240501,28.6406,2021-12-19 11:12:07,28.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.240501,28.6406,2021-12-19 11:12:07,28.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.119904,28.5445,2021-12-19 11:11:45,45.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.119904,28.5445,2021-12-19 11:11:45,45.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.119904,28.5445,2021-12-19 11:11:45,45.0,2021-12-19 11:11:57
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,2021-12-19 11:11:41
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,2021-12-19 11:11:41
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240196,28.647699,2021-12-19 11:11:19,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,2021-12-19 11:11:07
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC3536,,Jama Masjid (U02879),77.2351,28.641199,2021-12-19 11:10:48,26.0,
RAJGHAT-1,RAJGHAT1,DL1PC9889,,,77.227798,28.6439,2021-12-19 11:10:33,7.0,2021-12-19 11:10:50
RAJGHAT-1,RAJGHAT1,DL1PC9889,,,77.227798,28.6439,2021-12-19 11:10:33,7.0,2021-12-19 11:13:41
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.117104,28.540899,2021-12-19 11:10:25,36.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.117104,28.540899,2021-12-19 11:10:25,36.0,2021-12-19 11:14:18
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116997,28.540701,2021-12-19 11:10:23,35.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116997,28.540701,2021-12-19 11:10:23,35.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116997,28.540701,2021-12-19 11:10:23,35.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116997,28.540701,2021-12-19 11:10:23,35.0,2021-12-19 11:10:24
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116699,28.540001,2021-12-19 11:10:13,23.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116699,28.540001,2021-12-19 11:10:13,23.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116699,28.540001,2021-12-19 11:10:13,23.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.116699,28.540001,2021-12-19 11:10:13,23.0,2021-12-19 11:10:20
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.197998,28.625299,2021-12-19 11:09:55,33.0,
RAJGHAT -III,Rajghat3,DL1PD1566,,,77.314903,28.645901,2021-12-19 11:09:48,0.0,
TEHKHAND ,TEHKHAND,DL1PC7794,,Prem Nagar (U03331),77.357803,28.591299,2021-12-19 11:09:22,41.0,2021-12-19 11:10:01
TEHKHAND ,TEHKHAND,DL1PC7794,,Prem Nagar (U03331),77.357803,28.591299,2021-12-19 11:09:22,41.0,
TEHKHAND ,TEHKHAND,DL1PC7794,,Prem Nagar (U03331),77.357803,28.591299,2021-12-19 11:09:22,41.0,2021-12-19 11:10:01
RAJGHAT-1,RAJGHAT1,DL1PC9889,,,77.224701,28.6453,2021-12-19 11:09:09,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC9889,,,77.224701,28.6453,2021-12-19 11:09:09,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC9889,,,77.224701,28.6453,2021-12-19 11:09:09,0.0,2021-12-19 11:13:41
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.233101,28.640301,2021-12-19 11:08:59,39.0,
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.233101,28.640301,2021-12-19 11:08:59,39.0,
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.233101,28.640301,2021-12-19 11:08:59,39.0,
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.233101,28.640301,2021-12-19 11:08:59,39.0,2021-12-19 11:24:59
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.1091,28.534901,2021-12-19 11:08:49,41.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.1091,28.534901,2021-12-19 11:08:49,41.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.1091,28.534901,2021-12-19 11:08:49,41.0,
TEHKHAND ,TEHKHAND,DL1PC7552,,,77.1091,28.534901,2021-12-19 11:08:49,41.0,
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.235298,28.6402,2021-12-19 11:08:16,33.0,
RAJGHAT-1,RAJGHAT1,DL1PC9897,,DTC Rajghat Depot (DC3889),77.138901,28.803101,2021-12-19 11:08:12,15.0,
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.236099,28.6401,2021-12-19 11:08:08,38.0,
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.236099,28.6401,2021-12-19 11:08:08,38.0,2021-12-19 11:08:10
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.236099,28.6401,2021-12-19 11:08:08,38.0,
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.236099,28.6401,2021-12-19 11:08:08,38.0,
RAJGHAT-1,RAJGHAT1,DL1PC9915,,,77.2295,28.666599,2021-12-19 11:07:43,22.0,2021-12-19 11:13:40
RAJGHAT-1,RAJGHAT1,DL1PC9915,,,77.2295,28.666599,2021-12-19 11:07:43,22.0,
TEHKHAND ,TEHKHAND,DL1PC7577,,Minto Road Terminal (U02665),77.124298,28.5473,2021-12-19 11:06:40,7.0,
TEHKHAND ,TEHKHAND,DL1PC7577,,Minto Road Terminal (U02665),77.124298,28.5473,2021-12-19 11:06:40,7.0,
TEHKHAND ,TEHKHAND,DL1PC7577,,Minto Road Terminal (U02665),77.124298,28.5473,2021-12-19 11:06:40,7.0,
TEHKHAND ,TEHKHAND,DL1PC7577,,Minto Road Terminal (U02665),77.124298,28.5473,2021-12-19 11:06:40,7.0,
TEHKHAND ,TEHKHAND,DL1PC7577,,Minto Road Terminal (U02665),77.124298,28.5473,2021-12-19 11:06:40,7.0,
TEHKHAND ,TEHKHAND,DL1PC7577,,Minto Road Terminal (U02665),77.124298,28.5473,2021-12-19 11:06:40,7.0,
RAJGHAT-1,RAJGHAT1,DL1PC3185,,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.305901,28.6068,2021-12-19 11:06:28,19.0,2021-12-19 11:07:35
TEHKHAND ,TEHKHAND,DL1PC7737,,Humayun Road / Khan Market (U99919),77.303596,28.4935,2021-12-19 11:05:52,37.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240501,28.640699,2021-12-19 11:05:13,24.0,2021-12-19 11:05:14
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.240501,28.640699,2021-12-19 11:05:13,24.0,2021-12-19 11:05:14
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.5103,2021-12-19 11:04:06,0.0,2021-12-19 11:06:49
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.5103,2021-12-19 11:04:06,0.0,2021-12-19 11:04:53
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.325897,28.6019,2021-12-19 11:03:43,14.0,
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.325897,28.6019,2021-12-19 11:03:43,14.0,2021-12-19 11:03:46
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.325897,28.6019,2021-12-19 11:03:43,14.0,2021-12-19 11:03:46
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.240501,28.6429,2021-12-19 11:03:29,42.0,2021-12-19 11:07:27
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.240501,28.6429,2021-12-19 11:03:29,42.0,2021-12-19 11:07:27
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.240501,28.6429,2021-12-19 11:03:29,42.0,2021-12-19 11:08:10
RAJGHAT -III,Rajghat3,DL1PC6607,,Model Basti (U02291),77.204803,28.6527,2021-12-19 11:03:00,7.0,
RAJGHAT -III,Rajghat3,DL1PC6607,,Model Basti (U02291),77.204803,28.6527,2021-12-19 11:03:00,7.0,
RAJGHAT -III,Rajghat3,DL1PC6607,,Model Basti (U02291),77.204803,28.6527,2021-12-19 11:03:00,7.0,2021-12-19 11:05:24
RAJGHAT-1,RAJGHAT1,DL1PC3185,,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.307701,28.6124,2021-12-19 11:02:47,17.0,2021-12-19 11:03:12
RAJGHAT-1,RAJGHAT1,DL1PC3185,,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.307701,28.6124,2021-12-19 11:02:47,17.0,
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.240402,28.6451,2021-12-19 11:02:17,0.0,2021-12-19 11:03:27
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.510201,2021-12-19 11:02:02,0.0,2021-12-19 11:02:34
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.240402,28.646099,2021-12-19 11:01:56,18.0,2021-12-19 11:01:58
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.314598,28.6469,2021-12-19 11:01:49,0.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.314598,28.6469,2021-12-19 11:01:49,0.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.314598,28.6469,2021-12-19 11:01:49,0.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.217499,28.610201,2021-12-19 11:01:35,34.0,2021-12-19 11:09:46
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.217499,28.610201,2021-12-19 11:01:35,34.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.217499,28.610201,2021-12-19 11:01:35,34.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.217499,28.610201,2021-12-19 11:01:35,34.0,2021-12-19 11:09:46
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.217499,28.610201,2021-12-19 11:01:35,34.0,
TEHKHAND ,TEHKHAND,DL1PC7600,,INA Colony (U02441),77.217499,28.610201,2021-12-19 11:01:35,34.0,
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.2463,28.6395,2021-12-19 11:01:17,29.0,2021-12-19 11:01:18
RAJGHAT -III,Rajghat3,DL1PD1103,,,77.2463,28.6395,2021-12-19 11:01:17,29.0,
TEHKHAND ,TEHKHAND,DL1PC7737,,Humayun Road / Khan Market (U99919),77.290497,28.501801,2021-12-19 11:01:10,12.0,
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.239601,28.6492,2021-12-19 11:00:02,31.0,2021-12-19 11:01:58
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.239601,28.6492,2021-12-19 11:00:02,31.0,2021-12-19 11:03:27
RAJGHAT-1,RAJGHAT1,DL1PC9605,,,77.3414,28.6157,2021-12-19 10:58:51,7.0,2021-12-19 10:58:53
RAJGHAT -III,Rajghat3,DL1PD0691,,Ram Prastha Crossing (U03712),77.209297,28.6679,2021-12-19 10:58:14,7.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.3144,28.6464,2021-12-19 10:57:04,0.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.3144,28.6464,2021-12-19 10:57:04,0.0,2021-12-19 11:01:39
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.3144,28.6464,2021-12-19 10:57:04,0.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.3144,28.6464,2021-12-19 10:57:04,0.0,
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.510099,2021-12-19 10:56:23,0.0,2021-12-19 11:00:21
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.510099,2021-12-19 10:56:23,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC3197,,JLN Marg (U02744),77.306396,28.605301,2021-12-19 10:55:48,7.0,2021-12-19 10:57:29
RAJGHAT-1,RAJGHAT1,DL1PC3197,,JLN Marg (U02744),77.306396,28.605301,2021-12-19 10:55:48,7.0,2021-12-19 10:57:29
RAJGHAT-1,RAJGHAT1,DL1PC3197,,JLN Marg (U02744),77.306396,28.605301,2021-12-19 10:55:48,7.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.314499,28.646299,2021-12-19 10:55:32,0.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.314499,28.646299,2021-12-19 10:55:32,0.0,
RAJGHAT -III,Rajghat3,DL1PD1449,,TELCO Gazipur (U03651),77.314499,28.646299,2021-12-19 10:55:32,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC9806,,,77.223602,28.645,2021-12-19 10:55:19,12.0,2021-12-19 11:26:23
RAJGHAT-1,RAJGHAT1,DL1PC3082,,,77.304298,28.6108,2021-12-19 10:54:49,13.0,
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.236099,28.6604,2021-12-19 10:54:45,13.0,
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.236099,28.6604,2021-12-19 10:54:45,13.0,2021-12-19 10:59:58
RAJGHAT-1,RAJGHAT1,DL1PC3163,,,77.221001,28.661301,2021-12-19 10:53:52,11.0,
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.319504,28.6152,2021-12-19 10:53:32,6.0,2021-12-19 10:53:34
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.319504,28.6152,2021-12-19 10:53:32,6.0,2021-12-19 10:53:34
RAJGHAT-1,RAJGHAT1,DL1PC3253,,ISBT Maharana Pratap Bus (T) (U02749),77.319504,28.6152,2021-12-19 10:53:32,6.0,2021-12-19 10:53:34
RAJGHAT-1,RAJGHAT1,DL1PC3074,,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.235497,28.6614,2021-12-19 10:52:27,22.0,
RAJGHAT-1,RAJGHAT1,DL1PC3074,,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.235497,28.6614,2021-12-19 10:52:27,22.0,
TEHKHAND ,TEHKHAND,DL1PC7761,,Batra Hospital (Satya Narayan Mandir) (U02960),77.303497,28.492001,2021-12-19 10:51:50,10.0,
TEHKHAND ,TEHKHAND,DL1PC7761,,Batra Hospital (Satya Narayan Mandir) (U02960),77.303497,28.492001,2021-12-19 10:51:50,10.0,2021-12-19 10:52:05
TEHKHAND ,TEHKHAND,DL1PC7761,,Batra Hospital (Satya Narayan Mandir) (U02960),77.303497,28.492001,2021-12-19 10:51:50,10.0,
TEHKHAND ,TEHKHAND,DL1PC7761,,Batra Hospital (Satya Narayan Mandir) (U02960),77.303497,28.492001,2021-12-19 10:51:50,10.0,2021-12-19 10:52:05
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.235397,28.6616,2021-12-19 10:51:26,25.0,
RAJGHAT-1,RAJGHAT1,DL1PC3197,,JLN Marg (U02744),77.307602,28.6124,2021-12-19 10:50:57,16.0,
RAJGHAT -III,Rajghat3,DL1PD0274,,Sukh Dev Vihar (U03266),77.3144,28.646999,2021-12-19 10:49:33,0.0,
RAJGHAT-1,RAJGHAT1,DL1PC3540,,Delhi Gate (U02885),77.231102,28.6406,2021-12-19 10:49:29,39.0,
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281303,28.510201,2021-12-19 10:49:08,0.0,2021-12-19 10:50:11
RAJGHAT-1,RAJGHAT1,DL1PC7995,,DTC Rajghat Depot (DC3889),77.227997,28.668301,2021-12-19 10:48:52,25.0,2021-12-19 11:01:54
TEHKHAND ,TEHKHAND,DL1PC7794,,Prem Nagar (U03331),77.358597,28.590599,2021-12-19 10:48:45,12.0,2021-12-19 11:09:13
RAJGHAT-1,RAJGHAT1,DL1PC3185,,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.2472,28.6301,2021-12-19 10:48:31,39.0,
RAJGHAT-1,RAJGHAT1,DL1PC3185,,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.2472,28.6301,2021-12-19 10:48:31,39.0,
RAJGHAT-1,RAJGHAT1,DL1PC3185,,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.2472,28.6301,2021-12-19 10:48:31,39.0,2021-12-19 10:49:03
RAJGHAT-1,RAJGHAT1,DL1PC3185,,Delhi Gate / Ambedkar Stadium Terminal (U02967),77.2472,28.6301,2021-12-19 10:48:31,39.0,
RAJGHAT -III,Rajghat3,DL1PC6629,,Rajghat Cluster Depot (DC3811),77.316299,28.641001,2021-12-19 10:47:51,28.0,2021-12-19 11:25:37
RAJGHAT -III,Rajghat3,DL1PC6629,,Rajghat Cluster Depot (DC3811),77.316299,28.641001,2021-12-19 10:47:51,28.0,
RAJGHAT -III,Rajghat3,DL1PC6629,,Rajghat Cluster Depot (DC3811),77.316299,28.641001,2021-12-19 10:47:51,28.0,
RAJGHAT -III,Rajghat3,DL1PC6629,,Rajghat Cluster Depot (DC3811),77.316299,28.641001,2021-12-19 10:47:51,28.0,
RAJGHAT -III,Rajghat3,DL1PC6629,,Rajghat Cluster Depot (DC3811),77.316299,28.641001,2021-12-19 10:47:51,28.0,
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.5103,2021-12-19 10:47:30,0.0,
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.5103,2021-12-19 10:47:30,0.0,
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.5103,2021-12-19 10:47:30,0.0,2021-12-19 10:47:58
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.5103,2021-12-19 10:47:30,0.0,2021-12-19 10:50:11
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.5103,2021-12-19 10:47:30,0.0,2021-12-19 10:53:23
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.5103,2021-12-19 10:47:30,0.0,2021-12-19 10:47:58
TEHKHAND ,TEHKHAND,DL1PC7586,,,77.281403,28.5103,2021-12-19 10:47:30,0.0,2021-12-19 11:02:34
