zomato_url,name,city,Review,,,,,,
https://www.zomato.com/ncr/the-real-heavens-sector-51-noida,The Real Heavens,Delhi NCR,Bad,,,,,,
https://www.zomato.com/mskitchen,M's Kitchen,Mumbai,Bad,,,,,,
https://www.zomato.com/ncr/rubaab-restaurant-gamma-1,Rubaab Restaurant,Delhi NCR,Bad,,,,,,
https://www.zomato.com/kolkata/petuk-food-parlour-elgin,Petuk Food Parlour,Kolkata,Bad,,,,,,
https://www.zomato.com/mumbai/rashmin-the-mithai-shop-malad-east,Rashmin The Mithai Shop,Mumbai,Good,,,,,,
https://www.zomato.com/kolkata/cookie-man-prince-anwar-shah-road,Cookie Man,Kolkata,Good,,,,,,
https://www.zomato.com/mumbai/ayubs-fort,Ayub's,Mumbai,Good,,,,,,
https://www.zomato.com/ncr/welcome-chicken-corner-east-of-kailash-new-delhi,Welcome Chicken Corner,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/dominos-pizza-sector-18-noida,Domino's Pizza,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/swad-food-caterers-janakpuri-new-delhi,Swad Food & Caterers,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/jai-shree-ram-sweets-sector-14-gurgaon,Jai Shree Ram Sweets,Delhi NCR,Bad,,,,,,
https://www.zomato.com/kolkata/m-s-binode-behari-nag-ganesh-chandra-dutta-dalhousie-bbd-bagh,M/S Binode Behari Nag Ganesh Chandra Dutta,Kolkata,Bad,,,,,,
https://www.zomato.com/ncr/red-chilli-hub-tughlakabad-new-delhi,Red Chilli Hub,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/sonu-shudh-bhojanalya-mayur-vihar-phase-3-new-delhi,Sonu Shudh Bhojanalya,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/shree-radhey-shyam-dhaba-mahipalpur-new-delhi,Shree Radhey Shyam Dhaba,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/punjabi-factory-rohini-new-delhi,Punjabi Factory,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/pizza-terminal-laxmi-nagar-new-delhi,Pizza Terminal,Delhi NCR,Bad,,,,,,
https://www.zomato.com/kolkata/dunlop-hotel-and-restaurant-baranagar,Dunlop Hotel and Restaurant,Kolkata,Bad,,,,,,
https://www.zomato.com/ncr/deseez-sector-39-gurgaon,Deseez,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/chefs-and-cooks-caterers-uttam-nagar-new-delhi,Chefs and Cooks Caterers,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/the-parantha-corner-rohini-new-delhi,The Parantha Corner,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/biryani-99-indirapuram-ghaziabad,Biryani 99,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/kitchen22-defence-colony-new-delhi,Kitchen22,Delhi NCR,Good,,,,,,
https://www.zomato.com/kolkata/foodie-kestopur,Foodie,Kolkata,Good,,,,,,
https://www.zomato.com/mumbai/tirupati-dosa-centre-7-bungalows,Tirupati Dosa Centre,Mumbai,Bad,,,,,,
https://www.zomato.com/ncr/chinese-express-sector-19-faridabad,Chinese Express,Delhi NCR,Bad,,,,,,
https://www.zomato.com/kolkata/dbrata-biryani-kalyani,D'Brata Biryani,Kolkata,Bad,,,,,,
https://www.zomato.com/mumbai/wheres-my-cone-pali-hill-bandra-west,Where's My Cone?,Mumbai,Bad,,,,,,
https://www.zomato.com/ncr/kadimi-sweets-jangpura-new-delhi,Kadimi Sweets,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/bikanervala-sector-29-gurgaon,Bikanervala,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/brewtoast-amar-colony-new-delhi,Brewtoast,Delhi NCR,Good,,,,,,
https://www.zomato.com/mumbai/mirwah-restaurant-mahakali,Mirwah Restaurant,Mumbai,Good,,,,,,
https://www.zomato.com/ncr/aydes-kapashera-new-delhi,Ayde's,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/shera-ki-rasoi-mahipalpur-new-delhi,Shera Ki Rasoi,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/cheese-central-sector-132-noida,Cheese Central,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/the-tummy-tickles-subhash-nagar-new-delhi,The Tummy Tickles,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/muradabad-ki-shahi-chicken-biryani-sheikh-sarai-new-delhi,Muradabad Ki Shahi Chicken Biryani,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/cafe-l2l-sector-2-noida,Cafe L2L,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/sweet-sins-kalkaji-new-delhi,Sweet Sins,Delhi NCR,Good,,,,,,
https://www.zomato.com/kolkata/kwality-park-street-area,Kwality,Kolkata,Good,,,,,,
https://www.zomato.com/mumbai/punjabi-dhaba-chakala,Punjabi Dhaba,Mumbai,Bad,,,,,,
https://www.zomato.com/ncr/andas-funda-lajpat-nagar-4-new-delhi,Anda's Funda,Delhi NCR,Bad,,,,,,
https://www.zomato.com/mumbai/dragon-express-kharghar-navi-mumbai,Dragon Express,Mumbai,Bad,,,,,,
https://www.zomato.com/ncr/essen-foods-sector-59-noida,Essen Foods,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/patiala-food-factory-1-sector-23-dwarka-new-delhi,Patiala Food Factory,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/s-v-fast-food-indirapuram-ghaziabad,S V Fast Food,Delhi NCR,Good,,,,,,
https://www.zomato.com/kolkata/royal-inn-hotel-and-restaurant-kalyani,Royal Inn Hotel And Restaurant,Kolkata,Good,,,,,,
https://www.zomato.com/ncr/goms-pizza-amrapali-leisure-valley-greater-noida,Goms Pizza,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/atipriyas-kitchen-azadpur-new-delhi,Atipriya's Kitchen,Delhi NCR,Bad,,,,,,
https://www.zomato.com/mumbai/hem-the-cake-shop-kandivali-west,Hem- The Cake Shop,Mumbai,Bad,,,,,,
https://www.zomato.com/kolkata/waah-kachori-2-baguihati,Waah Kachori,Kolkata,Bad,,,,,,
https://www.zomato.com/ncr/arabitia-café-netaji-subhash-place-new-delhi,Arabitia Café,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/bharawaan-di-rasoi-sector-15-faridabad,Bharawaan Di Rasoi,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/bahaar-restaurant-mg-road-gurgaon,Bahaar Restaurant,Delhi NCR,Good,,,,,,
https://www.zomato.com/HauzKhasSocial,Hauz Khas Social,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/time-out-cafe-indirapuram-ghaziabad,Time Out Cafe,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/crazy-bhukkhad-south-city-2-gurgaon,Crazy Bhukkhad,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/south-indian-corner-rohini-new-delhi,South Indian Corner,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/chennai-food-palace-vaishali-ghaziabad,Chennai Food Palace,Delhi NCR,Bad,,,,,,
https://www.zomato.com/mumbai/adarsh-pure-veg-vikhroli,Adarsh Pure Veg,Mumbai,Bad,,,,,,
https://www.zomato.com/ncr/melting-flavours-1-sector-132-noida,Melting Flavours,Delhi NCR,Good,,,,,,
https://www.zomato.com/kolkata/rosenberg-1-ultadanga,Rosenberg,Kolkata,Good,,,,,,
https://www.zomato.com/ncr/cherubs-rajinder-nagar-new-delhi,Cherubs,Delhi NCR,Good,,,,,,
https://www.zomato.com/kolkata/shankar-store-sodepur,Shankar Store,Kolkata,Good,,,,,,
https://www.zomato.com/ncr/bake-bite-khanpur-new-delhi,Bake Bite,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/shiv-shakti-restaurant-mayur-vihar-new-delhi,Shiv Shakti Restaurant,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/tawa-wok-sector-50-gurgaon,Tawa Wok,Delhi NCR,Bad,,,,,,
https://www.zomato.com/mumbai/coneys-pizza-cones-more-borivali-west,Coney's - Pizza Cones & More,Mumbai,Bad,,,,,,
https://www.zomato.com/mumbai/sailors-cafe-cbd-belapur-navi-mumbai,Sailors' Cafe,Mumbai,Good,,,,,,
https://www.zomato.com/ncr/spice-tandoor-alpha-1-greater-noida,Spice & Tandoor,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/biryaniya-dlf-phase-4-gurgaon,Biryaniya,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/mosaic-express-by-crowne-plaza-rohini-new-delhi,Mosaic Express- By Crowne Plaza,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/knight-delight-kafe-2-old-railway-road-gurgaon,Knight Delight Kafe,Delhi NCR,Bad,,,,,,
https://www.zomato.com/kolkata/ridhi-sidhi-1-sector-5-salt-lake,Ridhi Sidhi,Kolkata,Bad,,,,,,
https://www.zomato.com/ncr/kuldeep-food-corner-ashok-vihar-phase-3-new-delhi,Kuldeep Food Corner,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/samla-food-laxmi-nagar-new-delhi,Samla Food,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/fcf-chaap-kababs-subhash-nagar-new-delhi,FCF Chaap & Kabab's,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/plum-by-bent-chair-aerocity-new-delhi,Plum By Bent Chair,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/kittoos-sector-50-gurgaon,Kittoo's,Delhi NCR,Good,,,,,,
https://www.zomato.com/mumbai/wow-popcorn-carter-road-bandra-west,WOW Popcorn,Mumbai,Good,,,,,,
https://www.zomato.com/ncr/raj-bakers-and-confectioners-tagore-garden-new-delhi,Raj Bakers And Confectioners,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/choutala-food-junction-1-trilokpuri-new-delhi,Choutala Food Junction,Delhi NCR,Bad,,,,,,
https://www.zomato.com/kolkata/ghosh-sweets-kankurgachi,Ghosh Sweets,Kolkata,Bad,,,,,,
https://www.zomato.com/kolkata/hungry-hippo-lake-town,Hungry Hippo,Kolkata,Bad,,,,,,
https://www.zomato.com/ncr/vimal-sweets-nangloi-new-delhi,Vimal Sweets,Delhi NCR,Good,,,,,,
https://www.zomato.com/kolkata/puchkawala-2-hatibagan,Puchkawala,Kolkata,Good,,,,,,
https://www.zomato.com/ncr/the-royal-food-junction-ambedkar-road-ghaziabad,The Royal Food Junction,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/mojos-food-west-patel-nagar-new-delhi,Mojo's Food,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/tohfay-walla-sector-72-noida,Tohfay Walla,Delhi NCR,Bad,,,,,,
https://www.zomato.com/mumbai/mayur-restaurant-bar-santacruz-west,Mayur Restaurant & Bar,Mumbai,Bad,,,,,,
https://www.zomato.com/ncr/wat-the-waffle-jail-road-new-delhi,Wat the Waffle,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/pirates-of-punjab-tilak-nagar-new-delhi,Pirates of Punjab,Delhi NCR,Bad,,,,,,
https://www.zomato.com/mumbai/woodz-pizza-andheri-lokhandwala,Woodz Pizza,Mumbai,Good,,,,,,
https://www.zomato.com/ncr/back-to-pavilion-cafe-preet-vihar-new-delhi,Back To Pavilion Cafe,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/cherry-berry-gujranwala-town-new-delhi,Cherry Berry,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/diggin-chanakyapuri-new-delhi,Diggin,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/the-crossings-restaurant-crossing-republik-ghaziabad,The Crossings Restaurant,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/eggers-madhouse-sector-29-gurgaon,Eggers Madhouse,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/dogs-wiches-chittaranjan-park-new-delhi,Dogs & Wiches,Delhi NCR,Bad,,,,,,
https://www.zomato.com/mumbai/the-fitbox-co-sion,The FitBox Co.,Mumbai,Bad,,,,,,
https://www.zomato.com/ncr/chicken-app-inderlok-new-delhi,Chicken App,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/kebabs-curries-malviya-nagar-new-delhi,Kebabs & Curries,Delhi NCR,Good,,,,,,
https://www.zomato.com/kolkata/al-rim-ajoy-nagar,Al-Rim,Kolkata,Good,,,,,,
https://www.zomato.com/kolkata/piyali-restaurant-dum-dum,Piyali Restaurant,Kolkata,Good,,,,,,
https://www.zomato.com/ncr/rasoi-1-mahipalpur-new-delhi,Rasoi,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/mr-king-govind-puram-ghaziabad,Mr. King,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/online-cake-palace-vasundhara-enclave-new-delhi,Online Cake Palace,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/thali-king-make-my-thali-sector-20-dwarka-new-delhi,Thali King- Make My Thali,Delhi NCR,Bad,,,,,,
https://www.zomato.com/mumbai/rajubhai-bhurji-wala-borivali-west,Rajubhai Bhurji Wala,Mumbai,Good,,,,,,
https://www.zomato.com/ncr/indian-halal-meat-shop-kamla-nagar-new-delhi,Indian Halal Meat Shop,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/new-madras-cafe-shahdara-new-delhi,New Madras Cafe,Delhi NCR,Good,,,,,,
https://www.zomato.com/mumbai/momos-republic-majiwada-thane-west-thane,Momos Republic,Mumbai,Good,,,,,,
https://www.zomato.com/ncr/baleshwar-rasoi-ashok-vihar-new-delhi,Baleshwar Rasoi,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/wafflista-cafe-laxmi-nagar-new-delhi,Wafflista Cafe,Delhi NCR,Bad,,,,,,
https://www.zomato.com/kolkata/rajasthali-tollygunge,Rajasthali,Kolkata,Bad,,,,,,
https://www.zomato.com/mumbai/shree-sai-kulcha-hut-kalyan-thane,Shree Sai Kulcha Hut,Mumbai,Bad,,,,,,
https://www.zomato.com/ncr/new-sethis-restaurant-nehru-nagar-ghaziabad,New Sethi's Restaurant,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/diet-brite-shahdara-new-delhi,Diet Brite,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/cafe-meals-1-naraina-new-delhi,Cafe Meals,Delhi NCR,Good,,,,,,
https://www.zomato.com/ncr/wrap-roll-karol-bagh-new-delhi,Wrap & Roll,Delhi NCR,Good,,,,,,
https://www.zomato.com/kolkata/lalaji-food-plaza-liluah-howrah,Lalaji Food Plaza,Kolkata,Bad,,,,,,
https://www.zomato.com/ncr/om-sweets-snacks-sector-31-gurgaon,Om Sweets & Snacks,Delhi NCR,Bad,,,,,,
https://www.zomato.com/ncr/hakka-treat-laxmi-nagar-new-delhi,Hakka Treat,Delhi NCR,Bad,,,,,,
